competition_id,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_movecount,optimal_solution
BarbyCube2026,d,C,0,2,R U' R2 F U2 R U R2 F R U,5, R F' R U2 R'
LiuzhouOpen2026,d,A,0,1,F R U' R U' R' U' R' U' R U2,5, U' R U2 R' F'
EntreRiosCubea2026,f,A,0,5,R U2 F' R' U' R' U' F R' U' F,5, F2 U' R2 U' R2
IndalOpenOClock2026,2,B,0,4,R' U R' F U R U R' U' R U,5, F2 R2 F U F
WestonsuperMareSpring2026,2,A,1,2,U2 R' U R2 U' F' U' R' U' R U',5, U' F U R' U
TomellosoOpen2026,f,A,0,4,R U' R2 F' U' F U' R2 U2 R2 U',5, U' F R F' R'
NoClocksinGreenpoint2026,1,C,0,3,U R' U' F' R U' R F' U' F' R',5, U F' U' F2 U2
ChinchinaOpen2026,f,A,0,4,R' U2 R2 F' U2 R2 U2 F U' R U',5, U R' U F2 R'
StevenageMay2026,f,A,1,1,R' U2 R U F R U R' F U2 R,5, F2 U F2 U' R
BattleofAlberta2026,1,E,0,2,R U2 R2 U2 R U' R F' R2 U' R2,5, F2 R' U' F' R
DerwoodCubingDerbySpring2026,1,A,0,3,R' F U2 R U R U2 R' U' R' U2,5, U R2 U' F' R
RubisianSpringCubingIasi2026,1,A,0,5,U' R' F' U' R2 F' R2 U' R U R,5, F2 R F2 U R
SpeedcubingHuanuco2026,1,A,0,1,U' R' U2 R2 F' U2 R2 U2 F U2 R,5, R' U2 F2 R' U
AllRoundersKatowiceI2026,1,D,0,3,U' R' F' U' R2 U2 R' U' R' U F,5, R2 U F2 R' F
IIIColatinaOpen2026,1,B,0,3,R' U' R' F' R U R F' R' U' R,5, U F2 R U F2
BayankhongorCup2026,f,E,0,3,R' U' F' U R2 U' R' F R U R,5, F2 R F2 R2 F'
ACA11thAnniversaryBaku2026,2,B,0,3,U2 R' F' U' R U' R' U R U R,5, U F U F2 U
MidwestCubingClassic2026,d,D,0,5,R' U2 F' U2 R U' R' U' R U F,5, F2 R' F' U F2
TrebolisBogotaII2026,d,A,0,5,U R' U' F R U F R U2 R' U',5, U R U F' U2
CubingMineRybnikIV2026,f,A,0,4,R' F U2 F U' F' U' F R' U2 F,5, F2 U2 R U' F'
UCSDWeeknightsIX2026,f,C,1,1,R' U2 R2 U2 R2 F R2 U' R2 F U,5, U R F2 U' F2
DuperSuperDavisSpring2026,1,C,0,3,U' R' F' U' R U' R2 U R2 F' R2,5, U' R2 F2 R' F2
BQHSSpringOpen2026,2,A,0,3,U R' F' U' R2 F' U' F' R' U R,5, F U2 R U F
NewProvidenceSpringPM2026,1,C,0,1,R' U R U' R' U R' F' U' F R,5, F R2 F' U R2
LiverpoolSpring2026,1,B,1,2,U' R' F R2 U2 R2 F R2 U' R' U',5, U R U' R' U
WideBayCubing2026,f,A,0,4,U F' R' U' R U' R2 U2 F R2 U',5, F2 R U2 R F2
USMPenangCube2026,d,A,0,3,U2 R' U2 F' R U' R U2 R2 U' R,5, F' R' F2 U F2
VERKXIV2026,1,A,0,4,U' R' U' R U2 F U2 R U' R' F,5, F' U' R U' F'
AlgorithmsinArchbold2026,1,A,0,3,R U2 R2 F R2 U2 R2 F' U2 R U,5, U' R' U2 F2 R
CubeinLuanda2026,f,B,0,3,R' U' F' U' F U2 R' U2 F R2 U2,5, R2 F2 R' F' U'
NawiTlaxcala2026,1,A,0,2,R U2 R' U R U R' F U2 R U',5, R F R U' R
KhuvsgulCubeDay2026,f,C,0,1,F2 R U' R U2 R2 U2 R2 U2 R2 F,5, F' R' U R' F2
NauryzAlmaty2026,1,B,0,5,U2 R U' R' F U' F R U' R U2,5, U2 R2 U F' U'
UNSASpeedcubingSummer2026,f,A,0,2,U2 R U' F' R U' R' U' R' U' R,5, F R U F U2
BudapestOpen2026,f,A,0,5,U2 R' U2 R2 U2 R2 U2 F R U R',5, F' R' U' F' U'
TwistandTriumphNagpur2026,1,A,0,3,U' R U' R' U2 R' U' R U' R F',5, F U R2 U R
TabacundoOpen2026,f,B,0,2,U' R' U' F U2 R2 U' R2 F U2 R,5, F' U2 R2 U R'
ArkansasChampionship2026,2,A,1,2,U' R' U' R2 U' R2 F' U2 F R2 U',5, U' R F' U F
CreweSpring2026,1,C,1,2,R' U2 F' R2 U' R2 F U2 F' U R,5, F2 U F R' F2
SaipanOpen2026,f,A,1,2,U' R F R U R' F R U' R' F,5, F2 R' U2 R' U'
StevenageMarch2026,1,B,0,2,U2 R' F R U2 R' U' F' U R U2,5, U2 F U2 F' U2
PUCPCubingFestivalIX2026,2,B,0,4,U2 F' U2 R' U R' U' F R U' R',5, F2 U' F U R2
PUCPCubingFestivalIX2026,1,F,0,5,R U' R2 U2 F R2 U2 F R U R,5, F2 R' F' U2 R'
PUCPCubingFestivalIX2026,1,B,1,1,R' F R U2 R' U' F' U R U' R,5, R' U F U2 F'
SaraswatiCollegeOpen2026,f,A,0,4,U R' F' U' F R U R F R U,5, R' F' U' F' U'
DCHyderabadOpenMarchB2026,c,B,0,4,R' F R2 U2 R2 F' U2 F U2 R2 U',5, U' F R2 F2 R
NZNorthIslandChampionship2026,2,A,0,1,U R F' R' U2 R' F' U' R U' R,5, R F' U R2 U'
OpendeGatineau2026,d,B,0,1,U R F' R' U R U' R' U' F U',5, F' U R U' F
SummeroftheCubeHuancayo2026,1,C,0,3,U' R U' R' U' R' U' F' R U R',5, R2 F U F' U2
PalenciaconPdePyraminx2026,f,A,0,4,U' R2 U' F' R' U R' F R U R,5, F2 R2 F' R2 U
FalkirkBeginners2026,1,B,1,2,U' R F' U' F' U2 R2 F U2 R2 U2,5, U' R' F R' F2
TempleCubingWinter2026,f,A,0,1,R U2 F' R' U' R U' R' U' R' F',5, R2 U' F U R'
UOValentinesDay2026,1,A,0,4,U' R U' F' U' R' U2 R' F U2 R2,5, R' F2 U F R'
PISKGPremiereCubing2026,d,C,0,4,U' R U2 R' U' R' U' R2 U2 R2 U2,5, U2 R2 U' R U2
ElmiraWinter2026,f,A,0,4,R F' R2 U' R U R U2 R' U' R',5, U R2 U2 F R'
CuritibaContraoTempo2026,d,B,0,5,R2 U' F U R U R U' R' U' R',5, U' R F' U R2
SolvinginSavannah2026,2,A,0,4,R' F U' R2 F' U' R2 F R U R2,5, F R' F2 R F'
