competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_movecount,optimal_solution
PenangCubeMasters2023,6.0,f,A,0,1,R U' R2 U2 R U2 R' F' U' R2 U2,6, U R2 U F R2 F
PenangCubeMasters2023,6.0,f,A,0,2,R U' F' U' R2 U' R F R2 U2 R',6, R2 F U F2 R' U'
PenangCubeMasters2023,6.0,f,A,0,3,U R' U' R F' U' F R U2 R U2,9, F' U2 R' F' U2 F' R F R'
PenangCubeMasters2023,6.0,f,A,0,4,R' F R2 U' F U' F2 U2 R2 U' R2,10, F' U R' F2 R F' R F' U2 F
PenangCubeMasters2023,6.0,f,A,0,5,U' R' F R2 U2 R2 U2 F' R2 U2 R',6, R' F' R2 F' R U
PenangCubeMasters2023,6.0,f,A,1,1,R F' U' R' U' R' U' F U F U',6, F' R' U R2 F R
PenangCubeMasters2023,6.0,f,A,1,2,R' F' U' F R2 F' U2 R' F R U',9, U2 R' U' F' U2 R U' F R
MumbaiCubeFiesta2026,6.33,1,A,0,1,U F R U2 F U' R U2 R' U' R,8, F R2 F R' F2 U' R2 U'
MumbaiCubeFiesta2026,6.33,1,A,0,2,U2 R' F R2 U' R2 U F U2 F' U2,7, R F R U' F2 R' F
MumbaiCubeFiesta2026,6.33,1,A,0,3,R' U2 R' U2 F' U' F R U R' U',5, F' U' F U2 R2
MumbaiCubeFiesta2026,6.33,1,A,0,4,U2 R F R U2 R U2 R2 F U' F',8, F U R2 U2 R U' F2 U'
MumbaiCubeFiesta2026,6.33,1,A,0,5,U' R U' R' U' R2 U' F U2 F R,9, F U F2 R2 U' F' U R' F
MumbaiCubeFiesta2026,6.33,1,A,1,1,U R U2 R' U' R' F U F' U' R,6, F R F2 R' F2 R
MumbaiCubeFiesta2026,6.33,1,A,1,2,U2 R F' U' R2 U2 F R2 U2 R2 U,6, U' F U' F R' U2
GreekNationals2024,6.33,d,A,0,1,R' F' R' U' R U' R' F R2 F' U2,10, F' U F' R U F' U F' U2 F'
GreekNationals2024,6.33,d,A,0,2,R' U' R2 U' R2 U' R U F R U',7, R' U F2 R U' F2 R
GreekNationals2024,6.33,d,A,0,3,U R' U' R U' R' U' F' R2 U2 F',9, F2 U' F2 U F2 U R' U2 R'
GreekNationals2024,6.33,d,A,0,4,R' F U' F' U2 R U' R F U F,6, F2 R2 F R' F2 R2
GreekNationals2024,6.33,d,A,0,5,R F R' U2 R U R U' R' U' R',6, U' R U' R F' R'
GreekNationals2024,6.33,d,A,1,1,U2 R U' R2 F2 R U' R' U' F R2,9, U F' U' F R U R U F'
GreekNationals2024,6.33,d,A,1,2,U R' U R' F U2 F U' F R U2,6, U2 R2 U F' U2 F'
CubingBattleofKatipunan2024,6.33,f,E,0,1,R' U' R U R U' R2 U2 R2 U' F',6, F U' R' U' R' U'
CubingBattleofKatipunan2024,6.33,f,E,0,2,R' F U2 F2 U' R U' R U2 R U',6, R2 U' R' F2 U2 R2
CubingBattleofKatipunan2024,6.33,f,E,0,3,U' R' U F2 U' R U2 R U R' U',9, R2 F' U F2 U' R F2 R F2
CubingBattleofKatipunan2024,6.33,f,E,0,4,U' R' U2 F' R2 F' R' U' R' U' R,6, R F' R2 U R F
