competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,optimal_movecount,optimal_solution
CubingBattleofKatipunan2024,6.67,f,E,1,R' U' R U R U' R2 U2 R2 U' F',6, F U' R' U' R' U'
CubingBattleofKatipunan2024,6.67,f,E,2,R' F U2 F2 U' R U' R U2 R U',6, R2 U' R' F2 U2 R2
CubingBattleofKatipunan2024,6.67,f,E,3,U' R' U F2 U' R U2 R U R' U',9, R2 F' U F2 U' R F2 R F2
CubingBattleofKatipunan2024,6.67,f,E,4,U' R' U2 F' R2 F' R' U' R' U' R,6, R F' R2 U R F
CubingBattleofKatipunan2024,6.67,f,E,5,R U' R2 F U2 R U F R U2 R',8, U2 R' U' F R2 U' F' R
SwisscubingCupV2025,7.0,1,A,1,U F' U' R2 U2 R2 U' F' R U' R,5, U' F2 U' R F'
SwisscubingCupV2025,7.0,1,A,2,R' U2 R F U' R U2 R U' F' R',6, F2 U F U R U'
SwisscubingCupV2025,7.0,1,A,3,R F' R' U2 R' F U' R2 U2 F' R2,8, F U2 R F U R2 F U2
SwisscubingCupV2025,7.0,1,A,4,U R U2 R2 F U' R F U2 R U',7, U2 F' R U2 F2 R U'
SwisscubingCupV2025,7.0,1,A,5,F' R2 U' R' U2 R F' U' R' U R,8, F2 U F R2 U' F' R2 F
ZhengzhouSummerIII2025,7.0,c,D,1,R F' U2 R2 U2 F R2 U2 R' U R',5, R U' R' F2 R'
ZhengzhouSummerIII2025,7.0,c,D,2,R U' R2 U2 R2 U2 R' U R' F U,7, F R F2 U R2 F U
ZhengzhouSummerIII2025,7.0,c,D,3,U' R' F' U R U R F' R' U' R',6, R2 F2 U R F' R2
ZhengzhouSummerIII2025,7.0,c,D,4,R' F' R U' R F' U2 R2 F R U,9, F' R' U2 R' U F' R F2 U'
ZhengzhouSummerIII2025,7.0,c,D,5,R' U2 F' R U' R F U2 F U' F',8, F U' R F' U F' R' U2
HCMCVNCWarmUp2025,7.0,1,E,1,U' R F' U2 R' U' R' U F U F,10, F2 U F R' F2 U2 R' F2 R U'
HCMCVNCWarmUp2025,7.0,1,E,2,U R' U' F U2 R U R' U' F' R,6, F R' U' R F' U'
HCMCVNCWarmUp2025,7.0,1,E,3,U R' U' R' F R U' R U2 R' U,8, U' F' R' F U' F2 U R2
HCMCVNCWarmUp2025,7.0,1,E,4,R F' U' F' U2 R' U R' U2 R U,6, R F' R U F U2
HCMCVNCWarmUp2025,7.0,1,E,5,R F' R' U' R' U2 R U R F U',7, U F' U R2 U' F R'
BeijingWinter2025,7.0,d,D,1,R' F U' F U' F R2 F U' F2 U2,7, F2 R' U R2 F' U2 F'
BeijingWinter2025,7.0,d,D,2,U2 R U2 R2 U' R U2 R' F2 U F',7, R2 U' F R2 U' F2 U'
BeijingWinter2025,7.0,d,D,3,U2 R U R' U2 F U' F R2 F' U',9, F' U' F' U' R F' R F2 U
BeijingWinter2025,7.0,d,D,4,R' U' F2 U' R2 U' R2 U2 F2 U2 R2,7, F2 U F2 U' R2 U' R'
BeijingWinter2025,7.0,d,D,5,U R U' F R' U' F R U' R' F,7, F' R U F' R F' R'
PenangCubeMasters2023,7.0,f,A,1,R U' R2 U2 R U2 R' F' U' R2 U2,6, U R2 U F R2 F
PenangCubeMasters2023,7.0,f,A,2,R U' F' U' R2 U' R F R2 U2 R',6, R2 F U F2 R' U'
PenangCubeMasters2023,7.0,f,A,3,U R' U' R F' U' F R U2 R U2,9, F' U2 R' F' U2 F' R F R'
PenangCubeMasters2023,7.0,f,A,4,R' F R2 U' F U' F2 U2 R2 U' R2,10, F' U R' F2 R F' R F' U2 F
PenangCubeMasters2023,7.0,f,A,5,U' R' F R2 U2 R2 U2 F' R2 U2 R',6, R' F' R2 F' R U
UNSASpeedcubingPreNationals2023,7.0,1,B,1,F R' U2 F U R' U' R U' R' U',9, F U R2 F2 R U' F U R2
UNSASpeedcubingPreNationals2023,7.0,1,B,2,R' F R U R' U' F U R' U' R,6, F R' F2 U R2 U2
UNSASpeedcubingPreNationals2023,7.0,1,B,3,R' U' F R U R U' R2 U F' U',7, R' F2 R' F2 R F R2
UNSASpeedcubingPreNationals2023,7.0,1,B,4,R F' U' R2 U2 F U2 R2 U2 R2 F,6, F' R2 F U' F R'
UNSASpeedcubingPreNationals2023,7.0,1,B,5,R' U2 R U R U' R' U' F R2 U,8, U' R2 F' R' U' R U' R
Clockeborg2023,7.0,f,A,1,U R U' R2 F R2 U2 R2 U2 R2 U',6, U' F' R2 U R' U'
