competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_layer,optimal_solution
SASprintShowdown2024,2.0,2,A,1,U2 F2 U' F U' R U R' F U2 R,1, F U R' U2 R' U2 R F' U R'
SASprintShowdown2024,2.0,2,A,2,U' R' U2 R2 F' R' F' U2 R2 F R,0, U F R2 F U2 F' R2 F2 U'
SASprintShowdown2024,2.0,2,A,3,R' U2 F U' R2 U' R U2 R2 U2 R,4, R U2 R U R2 U F' U2 R
SASprintShowdown2024,2.0,2,A,4,U R F' R' U R U' R2 F' R2 U2,2, F U R2 U R' U R U2 R2
SASprintShowdown2024,2.0,2,A,5,R' F U F R' F U' R U2 R' U',3, U R U2 R2 F' U R2 U2
QUTQubeChallengeSaturday2023,2.0,1,F,1,U' R' U2 F U' F' R2 F R2 U' R2,2, U2 F2 U R2 U' R2 U2 F'
QUTQubeChallengeSaturday2023,2.0,1,F,2,R' F R' F2 U' F' R U' R U' R',2, R U2 R2 F U F' R F2 R
QUTQubeChallengeSaturday2023,2.0,1,F,3,R2 U' R U' R' U' R2 U2 R2 F' R,4, F U2 F2 R' U' F' U' F R F2
QUTQubeChallengeSaturday2023,2.0,1,F,4,R' U' R U R U2 F' R' U2 R2 U2,1, R2 U2 R' F U' R U' R' U'
QUTQubeChallengeSaturday2023,2.0,1,F,5,F' U2 R U2 R U2 R' U R' U R,1, F2 U' F' R2 F U2 F U' F'
VolgaNizhnyNovgorod2020,2.2,1,B,1,R' U2 R' U' R U2 R' F R2 U2 R',2, F2 U R' F U R' U2 F2 R2
VolgaNizhnyNovgorod2020,2.2,1,B,2,R' F' U2 F2 R2 F' R2 U2 F R U2,4, U R' F2 U F' R' U2 F2 R2
VolgaNizhnyNovgorod2020,2.2,1,B,3,R U' F' R F' U2 R' U R F' R',2, F U F' U R F2 R F U
VolgaNizhnyNovgorod2020,2.2,1,B,4,U R F' U' R2 U' F R2 U' R2 F,2, F2 R' F U R2 U' R F'
VolgaNizhnyNovgorod2020,2.2,1,B,5,R U' F' U' F' U' R2 U F R U,1, F R2 U' F' R F2 U F
LETIOpen2017,2.2,2,B,1,U' R' U F R U R' F' R2 U2 F,4, F' U2 R F' R U' F' R U2
