scramble,Count,competition_id,round_type_id,group_id,is_extra,scramble_num
U2 R' U2 F2 R2 U' F' R2 F R2 U',5,FranconiaOpen2014,1,A,0,4
U2 R' U2 F2 R2 U' F' R2 F R2 U',5,NorthernNeckWinter2019,1,D,0,3
U2 R' U2 F2 R2 U' F' R2 F R2 U',5,BrnoOpen2019,2,A,1,1
U2 R' U2 F2 R2 U' F' R2 F R2 U',5,RomeICQualifier2025,1,D,0,5
U2 R' U2 F2 R2 U' F' R2 F R2 U',5,ChellesOpen2026,f,B,0,2
U2 R U' R2 U' R U' R' F R2 U',5,LibertyScience2015,f,A,0,1
U2 R U' R2 U' R U' R' F R2 U',5,HoChiMinhOpen2018,f,A,0,2
U2 R U' R2 U' R U' R' F R2 U',5,TrinityValleySpring2020,c,A,0,4
U2 R U' R2 U' R U' R' F R2 U',5,CebuComebackOpen2022,1,A,0,4
U2 R U' R2 U' R U' R' F R2 U',5,StevenageNovember2023,f,A,0,3
U2 R' U' R2 U' F U' R F' U' R,4,ClassicCitySummer2017,2,D,0,5
U2 R' U' R2 U' F U' R F' U' R,4,ASFASpeedcubing2018,1,D,0,1
U2 R' U' R2 U' F U' R F' U' R,4,MeizhouOpen2019,2,A,0,5
U2 R' U' R2 U' F U' R F' U' R,4,CiuLaManchaOpen2025,1,B,1,2
U2 R' U' R U' F U2 R' U2 R U,4,CornellSpring2014,1,A,0,4
U2 R' U' R U' F U2 R' U2 R U,4,ZhengzhouOpen2019,1,C,1,1
U2 R' U' R U' F U2 R' U2 R U,4,LuziceOpen2022,f,A,1,2
U2 R' U' R U' F U2 R' U2 R U,4,PrairieChampionship2024,1,B,1,1
U2 R' U F' R U R' F2 U2 R2 U2,4,DanishOpen2016,f,A,1,1
U2 R' U F' R U R' F2 U2 R2 U2,4,LexingtonSpring2025,1,B,1,2
U2 R' U F' R U R' F2 U2 R2 U2,4,MofunlandSpeedcubingSG2025,2,B,1,2
U2 R' U F' R U R' F2 U2 R2 U2,4,NauryzAlmaty2026,1,B,1,2
U2 R' U F R U2 R' U' R' F2 R2,4,OKCCubeOffWinter2024,f,A,0,5
U2 R' U F R U2 R' U' R' F2 R2,4,ChicagolandNewcomers2025,1,D,1,1
U2 R' U F R U2 R' U' R' F2 R2,4,LouisianaMegaTwoDay2025,1,D,0,2
U2 R' U F R U2 R' U' R' F2 R2,4,NTChampionship2025,f,A,1,1
U2 R F U2 R2 U' R' U2 R' U F,4,Izcube2019,2,A,0,2
