competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_movecount,movecount_solution
SkewbontheMadisonSnow2025,7.67,1,B,0,1,UR1- DR3+ DL4+ UL5- U4+ R6+ D5- L1+ ALL3+ y2 U2- R6+ D2+ L3- ALL2-,10,UR2+ R2+ D2- y2 dl5- dr1- D3+ DL3+ DR4+ UR2+ ALL5+
SkewbontheMadisonSnow2025,7.67,1,B,0,2,UR1- DR3+ DL1+ UL3- U5- R2- D2+ L6+ ALL3+ y2 U1+ R2+ D5+ L1+ ALL6+,8,DL6- U3- L2+ ul6- /3- y2 R3+ UL1- DR5-
SkewbontheMadisonSnow2025,7.67,1,B,0,3,UR0+ DR2- DL3- UL3- U4- R0+ D3+ L6+ ALL6+ y2 U3+ R1+ D3+ L3- ALL2+,7,DR2+ U5- y2 R5+ L3+ DR3- UR3- ALL4+
SkewbontheMadisonSnow2025,7.67,1,B,0,4,UR0+ DR2- DL2+ UL1- U1+ R0+ D2- L4- ALL2+ y2 U0+ R5- D0+ L0+ ALL1-,6,DR2+ L3+ ur2+ ALL3- y2 dl1+ R5+
SkewbontheMadisonSnow2025,7.67,1,B,0,5,UR5+ DR4+ DL3+ UL5- U0+ R4+ D2- L2- ALL2- y2 U2- R3+ D4- L3+ ALL3+,10,DR1- DL4- L4- ALL4+ y2 ul1+ dl1+ UL5+ DL4+ UR3- \1+
SkewbontheMadisonSnow2025,7.67,1,B,1,1,UR2- DR5- DL5+ UL0+ U6+ R3+ D0+ L1- ALL5- y2 U1+ R4+ D2+ L3- ALL2+,9,UL4- R4+ ul1- y2 ur2+ U2- UL5+ DL2- UR4- /5-
SkewbontheMadisonSnow2025,7.67,1,B,1,2,UR2- DR4- DL2- UL6+ U3+ R1- D1- L2+ ALL5+ y2 U3+ R3+ D2+ L2+ ALL5+,8,DR5- UL5+ L1+ ul5+ y2 ur2+ UL2- DR2- UR1-
LentOpen2015,7.67,d,B,0,1,UR5- DR6+ DL1- UL1- U2- R2+ D6+ L2+ ALL5+ y2 U1+ R5+ D3- L3- ALL1- DL UL,8,UR4- DR1+ \3+ y2 L4- DL5- DR4- UR1- ALL3+
LentOpen2015,7.67,d,B,0,2,UR1+ DR5+ DL2+ UL2- U4+ R1+ D1+ L4+ ALL1- y2 U4- R5- D1- L0+ ALL5+ DL UL,9,DR5+ DL1- UL3- dr3+ dl1+ ul2- ALL6- y2 DR1+ UR4+
LentOpen2015,7.67,d,B,0,3,UR3+ DR5+ DL4- UL6+ U3+ R4- D3+ L0+ ALL3- y2 U6+ R0+ D2+ L5- ALL4- UR DR UL,9,DR4- L2- ur4- /1+ y2 dl5- dr2+ D2- U1+ UL5+
LentOpen2015,7.67,d,B,0,4,UR5- DR2+ DL4- UL4+ U2- R6+ D2- L5- ALL4- y2 U5+ R4- D5- L6+ ALL1- UR DR DL UL,11,UR3+ DR3+ DL1+ R3+ L4+ \4- y2 U2+ UL1+ DL5+ UR4+ /1-
LentOpen2015,7.67,d,B,0,5,UR5- DR6+ DL3- UL6+ U1- R2+ D5+ L3- ALL3+ y2 U0+ R5+ D4- L0+ ALL5- UL,7,R3- D4+ dl5+ /6- \2+ y2 D3- DR5-
LentOpen2015,7.67,d,B,1,1,UR3- DR2- DL0+ UL5- U3- R4- D2+ L3+ ALL4- y2 U0+ R0+ D6+ L4- ALL4+ UR DR DL,7,UR3- UL2+ dr5+ y2 dr6+ L2- DL6+ \4-
LentOpen2015,7.67,d,B,1,2,UR4+ DR0+ DL1+ UL6+ U6+ R4- D1+ L1+ ALL2+ y2 U5- R2+ D4- L1+ ALL2+ UR UL,8,DL3+ U4- D5- L1+ y2 dr5- UL1- DR4+ UR6+
