competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_movecount,movecount_solution
NZSouthIslandChamps2026,8.0,d,A,1,UR4- DR5+ DL5+ UL4- U4- R4+ D0+ L4+ ALL3+ y2 U1- R1- D0+ L3+ ALL1+,7,DR5- DL5- dr5- dl4- ALL2- y2 L3- UR1+
NZSouthIslandChamps2026,8.0,d,A,2,UR5- DR3+ DL3- UL5+ U4- R3- D3- L2- ALL3- y2 U1+ R5+ D3+ L2- ALL3-,9,UR5+ U1- D3+ dr5+ ul3+ y2 R2- U1- L2+ DR3-
NZSouthIslandChamps2026,8.0,d,A,3,UR3+ DR2+ DL2- UL0+ U2+ R5- D2- L2+ ALL5+ y2 U2+ R3+ D1+ L5+ ALL3-,9,U5- D2+ ul2+ \4- y2 ul2- D1- R3- U3+ UL5-
NZSouthIslandChamps2026,8.0,d,A,4,UR3- DR3+ DL3- UL5+ U3- R0+ D0+ L3- ALL3+ y2 U3- R3- D3+ L3- ALL3+,6,UL1+ /3+ \3- y2 D3- L3+ UR3+
NZSouthIslandChamps2026,8.0,d,A,5,UR3- DR5+ DL1+ UL3- U1- R0+ D6+ L2+ ALL2- y2 U1- R4- D5- L5+ ALL3-,9,UR2- U3- y2 dl3+ dr4- R4+ U1- UL2+ DL5+ /1-
MumbaiSummerCubeFiesta2026,8.2,c,A,1,UR4+ DR0+ DL0+ UL1- U3- R4- D2- L1- ALL5+ y2 U3+ R1- D6+ L2+ ALL6+,7,DL2+ y2 dr6+ D4+ UL2- DR2+ UR1- ALL1-
MumbaiSummerCubeFiesta2026,8.2,c,A,2,UR1+ DR3+ DL0+ UL3+ U4- R3+ D4+ L3- ALL2+ y2 U1+ R4- D4- L4- ALL4+,7,DR5+ /4+ ALL6- y2 dr1- R5+ DL4+ UR1-
MumbaiSummerCubeFiesta2026,8.2,c,A,3,UR3+ DR1- DL5- UL1+ U5- R5- D3- L2- ALL3- y2 U4- R0+ D6+ L0+ ALL2-,9,UR3+ DL3- UL2- L1- /1- y2 ul4- dr6+ D6+ U4+
MumbaiSummerCubeFiesta2026,8.2,c,A,4,UR3- DR4+ DL5- UL3+ U2- R3- D5- L2+ ALL1+ y2 U4- R0+ D4+ L1- ALL3-,9,UR2+ D6- y2 ul5+ dl1+ dr1+ D4- U4+ L1+ \4-
MumbaiSummerCubeFiesta2026,8.2,c,A,5,UR1+ DR1- DL1+ UL3+ U2- R2+ D3- L4- ALL3- y2 U2- R4- D1- L5+ ALL4-,9,UR2- D3+ ul6- ALL1- y2 ur5- L4- UL1- DR1+ UR3+
EyesOpenOpenOtautahi2025,8.2,1,B,1,UR0+ DR5- DL2+ UL1+ U6+ R1- D5- L4- ALL3- y2 U0+ R2- D4+ L5- ALL4-,8,U5+ R6- D4- L1+ /1+ y2 L1- DL6+ DR2+
EyesOpenOpenOtautahi2025,8.2,1,B,2,UR5- DR1- DL3- UL0+ U5+ R3+ D1- L2+ ALL4+ y2 U1+ R0+ D5+ L6+ ALL4+,8,DR4+ DL1+ R1- dl4- ul4- y2 ul2+ UL1- DL5-
EyesOpenOpenOtautahi2025,8.2,1,B,3,UR2- DR0+ DL4+ UL3- U5- R5+ D1+ L0+ ALL0+ y2 U1+ R5+ D0+ L0+ ALL5+,9,DR3- DL1- U2- D1- /3- \2- y2 ul5- R5- U1-
EyesOpenOpenOtautahi2025,8.2,1,B,4,UR4- DR0+ DL3+ UL0+ U4+ R2+ D3- L4+ ALL0+ y2 U5- R2- D0+ L4+ ALL1-,7,R2+ L5+ ALL1- y2 ul3- R2+ U3- UL4-
EyesOpenOpenOtautahi2025,8.2,1,B,5,UR5+ DR0+ DL5- UL5- U5+ R5+ D0+ L1- ALL5- y2 U2+ R1- D6+ L3- ALL2-,9,UR5- DL5+ R5- L6- y2 D3+ R3+ DL3+ UR2- \3+
BurleySummer2025,8.2,d,B,1,UR1- DR3- DL2- UL1- U4- R1- D5+ L5+ ALL4- y2 U4- R5- D2+ L1- ALL0+,9,UR5+ UL2- U3+ y2 R5- L3- UL4+ DR2- \3+ ALL1-
BurleySummer2025,8.2,d,B,2,UR0+ DR0+ DL4+ UL2+ U4- R3- D3+ L4+ ALL4- y2 U3+ R3- D1+ L5- ALL3-,9,DR3+ DL2+ U2+ dr5+ ul2- y2 DL5+ DR6+ UR3- ALL1-
BurleySummer2025,8.2,d,B,3,UR3+ DR4+ DL1- UL3- U4- R1- D0+ L3- ALL5+ y2 U3- R2+ D1- L1- ALL1-,9,UR3- DR3- UL5- ur1- y2 dl4- R2- U3+ DL1+ ALL6+
BurleySummer2025,8.2,d,B,4,UR4+ DR4+ DL4- UL4- U0+ R3- D4- L4+ ALL5+ y2 U4+ R1+ D4- L4- ALL5+,7,DL4+ R5- dl1- y2 dr5- R3+ DL4+ UR4-
BurleySummer2025,8.2,d,B,5,UR4+ DR3- DL4+ UL4+ U1- R1- D1- L4+ ALL3- y2 U1+ R1+ D4- L1- ALL5-,7,U5+ /5+ ALL5- y2 L3- DL4+ UR1- /4-
SkewbontheMadisonSnow2025,8.2,1,B,1,UR1- DR3+ DL4+ UL5- U4+ R6+ D5- L1+ ALL3+ y2 U2- R6+ D2+ L3- ALL2-,10,UR2+ R2+ D2- y2 dl5- dr1- D3+ DL3+ DR4+ UR2+ ALL5+
SkewbontheMadisonSnow2025,8.2,1,B,2,UR1- DR3+ DL1+ UL3- U5- R2- D2+ L6+ ALL3+ y2 U1+ R2+ D5+ L1+ ALL6+,8,DL6- U3- L2+ ul6- /3- y2 R3+ UL1- DR5-
SkewbontheMadisonSnow2025,8.2,1,B,3,UR0+ DR2- DL3- UL3- U4- R0+ D3+ L6+ ALL6+ y2 U3+ R1+ D3+ L3- ALL2+,7,DR2+ U5- y2 R5+ L3+ DR3- UR3- ALL4+
SkewbontheMadisonSnow2025,8.2,1,B,4,UR0+ DR2- DL2+ UL1- U1+ R0+ D2- L4- ALL2+ y2 U0+ R5- D0+ L0+ ALL1-,6,DR2+ L3+ ur2+ ALL3- y2 dl1+ R5+
SkewbontheMadisonSnow2025,8.2,1,B,5,UR5+ DR4+ DL3+ UL5- U0+ R4+ D2- L2- ALL2- y2 U2- R3+ D4- L3+ ALL3+,10,DR1- DL4- L4- ALL4+ y2 ul1+ dl1+ UL5+ DL4+ UR3- \1+
GemCitySpecialIIOH2024,8.2,d,B,1,UR6+ DR3+ DL2+ UL1- U3+ R6+ D5- L1- ALL2- y2 U0+ R4- D5+ L1- ALL6+,8,UR4+ R5+ \2- ALL6- y2 dl1+ L2- DL3+ DR4+
