competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_simtickcount,simtickcount_solution
QualifyingCougarsWV2026,14.67,f,B,0,1,UR3+ DR5+ DL6+ UL3- U3- R3+ D3+ L0+ ALL1+ y2 U5- R2+ D2+ L4+ ALL1+,18,"UR(3,-1) DR(-2,-2) U(0,2) L(-3,-1) ur(-4,5) ul(2,2) /(1,-1)"
QualifyingCougarsWV2026,14.67,f,B,0,2,UR6+ DR2+ DL6+ UL1+ U3- R6+ D4+ L2- ALL5+ y2 U1+ R1+ D4+ L0+ ALL1-,16,"UL(-4,5) U(0,1) R(-2,-2) D(0,1) L(-1,0) dl(-3,3) /(-3,-3)"
QualifyingCougarsWV2026,14.67,f,B,0,3,UR2+ DR3+ DL2+ UL1+ U2+ R4- D3+ L3- ALL1- y2 U2- R3- D2+ L4+ ALL2+,18,"UR(-5,4) DR(4,-1) L(0,1) ur(0,1) dr(0,2) ul(-2,-3) \(-2,-1)"
QualifyingCougarsWV2026,14.67,f,B,0,4,UR3- DR3- DL1- UL6+ U6+ R4- D4+ L1+ ALL3+ y2 U3+ R1+ D0+ L5+ ALL2+,14,"DR(-1,-2) DL(1,-1) UL(3,-3) R(-1,0) L(2,3) ur(0,2) ul(-1,1) ALL(0,-1)"
QualifyingCougarsWV2026,14.67,f,B,0,5,UR4- DR1- DL1+ UL3+ U1- R4+ D0+ L6+ ALL1- y2 U0+ R4- D2+ L1- ALL1-,13,"UR(2,2) R(-1,-4) L(2,-3) dr(2,2) dl(-1,0) /(1,-1)"
QualifyingCougarsWV2026,14.67,f,B,1,1,UR5+ DR3+ DL0+ UL4- U3+ R4+ D4+ L1+ ALL1- y2 U3+ R2- D5- L6+ ALL1-,20,"UR(-2,1) DR(2,0) DL(3,3) U(-2,2) D(0,3) L(0,-1) dr(-4,-5) dl(0,-2)"
QualifyingCougarsWV2026,14.67,f,B,1,2,UR1+ DR0+ DL3+ UL6+ U1- R2- D4- L1- ALL3- y2 U0+ R1- D0+ L2- ALL4-,14,"UR(1,1) UL(5,4) D(1,1) L(-1,-2) ul(-2,-1) /(-2,2) ALL(-1,0)"
Alekuben2026,15.0,c,A,0,1,UR2- DR3- DL3- UL2- U3+ R1+ D5- L6+ ALL6+ y2 U3+ R4+ D2- L2+ ALL4-,13,"UR(0,-1) DL(-1,1) U(1,-2) R(4,3) ur(-2,2) ul(-2,1) /(-1,-1)"
Alekuben2026,15.0,c,A,0,2,UR2+ DR4- DL1- UL5- U5+ R2+ D5+ L4+ ALL5- y2 U3- R2- D6+ L2+ ALL6+,17,"UR(-2,-1) U(0,2) R(2,-2) D(0,-3) L(2,-2) dr(-5,4) ALL(0,-1)"
Alekuben2026,15.0,c,A,0,3,UR5- DR4- DL2- UL4+ U6+ R5+ D3+ L2+ ALL5+ y2 U5+ R5+ D0+ L3+ ALL5+,17,"DR(2,0) DL(1,-1) UL(-5,-2) R(2,3) ur(0,3) ul(-1,2) \(-1,1)"
Alekuben2026,15.0,c,A,0,4,UR1+ DR3- DL3- UL4+ U4- R2+ D4+ L4+ ALL2+ y2 U1- R1+ D2- L2+ ALL1+,15,"DR(2,1) UL(-2,-2) U(1,-2) R(-2,1) L(-3,3) ur(-3,-1) \(0,1)"
Alekuben2026,15.0,c,A,0,5,UR4+ DR4+ DL6+ UL3- U3- R6+ D4+ L3+ ALL2- y2 U0+ R4+ D4- L3- ALL5+,20,"UR(1,0) DL(-2,1) U(1,-1) R(-3,4) L(-4,0) dr(-4,-3) \(4,1)"
Alekuben2026,15.0,c,A,1,1,UR1+ DR0+ DL2+ UL6+ U1+ R6+ D6+ L0+ ALL3+ y2 U2- R1+ D0+ L1- ALL3+,12,"DR(4,-2) UL(4,4) R(1,1) D(0,-1) ur(2,-1)"
Alekuben2026,15.0,c,A,1,2,UR4+ DR1+ DL4- UL3+ U5- R5- D5+ L1- ALL0+ y2 U5- R0+ D1+ L4+ ALL4+,18,"UL(-2,0) D(-2,0) L(4,-4) ur(-3,-4) dl(0,1) ul(1,-1) ALL(4,0)"
SouthGermany2025,15.0,d,B,0,1,UR2+ DR0+ DL0+ UL2- U3+ R1- D2+ L5+ ALL2- y2 U1+ R3+ D2+ L1+ ALL6+,14,"UR(-1,0) DL(-2,1) U(-2,0) L(-1,1) dr(-1,0) dl(0,2) ul(0,1) ALL(0,-4)"
SouthGermany2025,15.0,d,B,0,2,UR2+ DR1+ DL4- UL5+ U5+ R0+ D1- L0+ ALL0+ y2 U2- R6+ D0+ L3+ ALL1-,20,"UR(0,2) DL(4,4) R(-3,-4) L(-5,3) ul(-2,-2) \(-2,3)"
SouthGermany2025,15.0,d,B,0,3,UR5+ DR2- DL3- UL0+ U3+ R1+ D5+ L4- ALL4- y2 U1+ R2+ D4+ L4- ALL3-,16,"UR(-4,-2) UL(-1,0) U(-3,3) L(-4,-4) dl(1,1) ul(-2,1) ALL(0,1)"
SouthGermany2025,15.0,d,B,0,4,UR1- DR6+ DL3- UL1+ U2- R4+ D2- L4+ ALL5- y2 U1+ R1+ D0+ L1- ALL2+,15,"UR(2,-2) R(1,-1) D(-1,1) L(-2,1) dr(-3,-2) dl(0,2) \(1,4)"
SouthGermany2025,15.0,d,B,0,5,UR1+ DR3- DL2+ UL0+ U5+ R4+ D1- L5- ALL3- y2 U1+ R1+ D2+ L2+ ALL2-,14,"UR(-3,3) DR(1,0) DL(1,-1) U(-3,0) L(2,0) ur(1,1) dr(1,1) dl(0,1) \(0,-1)"
SouthGermany2025,15.0,d,B,1,1,UR3- DR2+ DL5- UL3- U5+ R1- D6+ L1+ ALL1- y2 U4+ R1- D1+ L1+ ALL4+,20,"DR(2,3) DL(-5,-4) U(1,1) D(0,4) ur(0,1) ul(-1,-1) \(2,5)"
SouthGermany2025,15.0,d,B,1,2,UR3- DR0+ DL4- UL4- U5+ R5- D3+ L2- ALL4- y2 U3+ R1+ D5+ L2- ALL1-,19,"U(2,-5) R(-4,1) D(1,1) L(-2,-2) ur(-3,2) dr(-2,-2) /(-2,-1)"
NZNorthIslandChampionship2025,15.0,f,A,0,1,UR1+ DR1- DL5+ UL4+ U4- R1- D4- L5+ ALL2- y2 U3- R5- D1+ L0+ ALL5-,13,"UR(1,1) U(-2,3) L(-2,0) dl(0,-2) ul(-2,-3) \(2,1)"
NZNorthIslandChampionship2025,15.0,f,A,0,2,UR2+ DR1+ DL6+ UL6+ U4- R4- D5- L0+ ALL5- y2 U3+ R1+ D2+ L1+ ALL6+,17,"UR(1,1) DL(-2,0) UL(3,3) U(4,2) D(0,2) L(-1,1) ul(0,1) /(-2,3)"
NZNorthIslandChampionship2025,15.0,f,A,0,3,UR2+ DR0+ DL5+ UL0+ U4+ R6+ D4+ L1+ ALL2- y2 U4- R0+ D4- L5+ ALL2+,22,"UR(4,-4) DL(3,2) U(2,-4) L(3,-3) ur(0,-4) ALL(4,0)"
NZNorthIslandChampionship2025,15.0,f,A,0,4,UR4- DR1+ DL2+ UL4- U2+ R1- D4+ L0+ ALL1- y2 U3+ R0+ D1- L1+ ALL2-,15,"UR(3,0) DR(1,-2) UL(2,2) U(1,-1) D(4,2) ur(2,1) ALL(0,-1)"
NZNorthIslandChampionship2025,15.0,f,A,0,5,UR6+ DR0+ DL2+ UL0+ U2+ R1- D2- L5+ ALL0+ y2 U5+ R4- D3+ L3+ ALL6+,24,"UR(4,-1) R(3,-4) L(5,-5) ur(0,5) dr(-3,3) /(3,3)"
NZNorthIslandChampionship2025,15.0,f,A,1,1,UR4+ DR0+ DL6+ UL2- U2- R1- D4- L4- ALL1- y2 U3- R0+ D2- L3- ALL1+,12,"UR(-1,-2) DR(-2,0) U(1,-2) ur(-4,-3) /(-2,0)"
NZNorthIslandChampionship2025,15.0,f,A,1,2,UR0+ DR3+ DL3+ UL5+ U0+ R2+ D5- L5+ ALL1- y2 U6+ R6+ D6+ L5+ ALL5+,21,"UR(-5,-5) DL(-1,0) U(0,1) ur(0,2) dr(0,3) dl(0,2) ul(-3,4) /(-3,-3)"
BeskidySideDays2024,15.0,d,B,0,1,UR0+ DR3+ DL4+ UL3- U4+ R4- D4- L2+ ALL3- y2 U4- R0+ D0+ L2+ ALL3+,17,"UR(2,2) DR(-1,1) UL(-3,-2) D(-2,-4) L(0,2) dr(1,0) /(4,2)"
BeskidySideDays2024,15.0,d,B,0,2,UR3- DR6+ DL6+ UL5+ U3- R3- D4+ L2- ALL3+ y2 U5+ R5+ D0+ L6+ ALL3-,22,"UR(1,0) DR(-1,0) D(-3,2) L(3,-4) ur(-2,-2) ul(-5,5) /(-2,0) \(-4,0)"
BeskidySideDays2024,15.0,d,B,0,3,UR3- DR4- DL1+ UL1- U3- R5+ D2- L5+ ALL1+ y2 U1- R2- D2- L3+ ALL5-,20,"DR(2,-2) UL(-5,2) D(3,-4) ur(1,3) dl(2,-2) \(-2,-4)"
BeskidySideDays2024,15.0,d,B,0,4,UR3+ DR4+ DL3- UL5- U5+ R1- D2- L6+ ALL1+ y2 U0+ R1+ D2+ L4+ ALL3-,17,"UR(-3,-3) DR(-2,2) R(-1,1) D(3,0) L(2,2) dr(1,2) /(4,0)"
BeskidySideDays2024,15.0,d,B,0,5,UR4+ DR4- DL0+ UL5+ U5+ R1- D3+ L6+ ALL3+ y2 U2+ R4- D1- L1+ ALL3+,14,"UR(-2,-2) DR(3,4) R(0,-2) D(-2,2) L(1,0) dr(1,1) dl(2,-2)"
BeskidySideDays2024,15.0,d,B,1,1,UR5+ DR1- DL5- UL2- U4- R5- D4- L5- ALL3+ y2 U1+ R1- D2+ L6+ ALL5-,14,"UR(1,-1) DR(-1,0) R(1,-1) D(-1,-1) L(0,2) ur(0,2) dr(-2,2) \(-4,0)"
BeskidySideDays2024,15.0,d,B,1,2,UR1+ DR3- DL2- UL4+ U5+ R1+ D4+ L6+ ALL5+ y2 U2- R5- D1+ L0+ ALL6+,14,"UR(1,0) DL(2,2) U(1,1) R(0,-1) D(-1,2) L(2,0) ul(-3,-4) ALL(1,0)"
Cube4funLublinonWEII2024,15.0,f,A,0,1,UR5- DR4+ DL0+ UL4+ U3- R3+ D2+ L4- ALL4- y2 U6+ R4- D6+ L0+ ALL3-,20,"DR(-2,2) U(4,-2) D(-4,-5) L(0,1) ur(-1,-1) dl(-3,-4) \(-3,2)"
Cube4funLublinonWEII2024,15.0,f,A,0,2,UR4- DR1- DL3- UL5- U0+ R2+ D0+ L3- ALL5- y2 U3- R2- D1- L1- ALL5-,14,"DR(3,2) U(-3,-1) D(1,-1) L(-1,-1) dl(-1,0) ul(-1,-2) \(-3,3)"
Cube4funLublinonWEII2024,15.0,f,A,0,3,UR0+ DR2- DL2- UL1+ U5+ R5+ D6+ L3+ ALL3- y2 U1+ R3+ D1+ L1- ALL1-,13,"UL(-2,-1) U(-4,1) R(-3,3) D(-2,2) ur(-1,-1) /(-1,-1)"
Cube4funLublinonWEII2024,15.0,f,A,0,4,UR1- DR1+ DL1+ UL0+ U4+ R3+ D0+ L3- ALL1- y2 U1- R2- D1+ L0+ ALL0+,11,"UR(-1,1) DR(-2,-2) U(-2,1) L(2,-1) ur(1,1) ul(-1,-2) \(-1,0)"
Cube4funLublinonWEII2024,15.0,f,A,0,5,UR4+ DR2- DL4+ UL3- U2+ R2+ D0+ L2- ALL6+ y2 U6+ R0+ D5- L1+ ALL3-,21,"UR(-3,1) DR(-1,0) U(0,-5) D(-1,5) L(1,0) ur(1,1) \(2,-3) ALL(2,0)"
Cube4funLublinonWEII2024,15.0,f,A,1,1,UR4- DR6+ DL5+ UL6+ U3- R5- D0+ L2- ALL3+ y2 U2- R6+ D6+ L0+ ALL5+,18,"UR(-1,0) DL(1,1) UL(2,-2) R(4,2) ur(-2,-2) dr(-2,2) dl(4,4) \(0,-2)"
Cube4funLublinonWEII2024,15.0,f,A,1,2,UR3- DR2- DL2- UL0+ U0+ R3+ D4- L5+ ALL1+ y2 U5- R3+ D2+ L3- ALL6+,19,"UR(2,-2) DL(-3,-1) U(1,-1) D(-1,-2) ur(3,-3) dr(2,0) dl(0,3) /(-2,-3)"
FountainCity2023,15.0,1,B,0,1,UR6+ DR3+ DL1- UL3- U1+ R5- D3- L6+ ALL3+ y2 U4+ R2+ D1- L2- ALL5+ DR DL,18,"UR(-4,0) DL(-1,2) D(2,4) L(-1,1) dr(-3,-3) dl(0,2) ALL(0,2)"
