competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_simtickcount,simtickcount_solution
PribramCube2024,15.2,f,A,1,UR0+ DR4+ DL0+ UL3- U4+ R3- D2+ L4- ALL1+ y2 U2+ R1- D6+ L0+ ALL1+,18,"UR(0,-2) DR(-1,0) DL(-2,0) U(-1,-3) R(0,-1) D(-3,2) L(-3,3) dr(-3,-3)"
PribramCube2024,15.2,f,A,2,UR4- DR2- DL3- UL1+ U4+ R5+ D5+ L6+ ALL0+ y2 U2- R4- D4- L4- ALL5-,16,"DR(1,-1) DL(-1,0) UL(-1,-2) L(-2,-2) ur(0,-2) dl(2,-4) /(1,4)"
PribramCube2024,15.2,f,A,3,UR1- DR3+ DL6+ UL1- U3+ R3+ D5+ L2- ALL3+ y2 U3+ R3+ D1+ L0+ ALL2+,16,"UR(-1,-4) DR(-2,-2) R(-2,2) L(-3,-3) ur(-1,3) dl(1,1) /(1,0)"
PribramCube2024,15.2,f,A,4,UR5+ DR4- DL6+ UL2+ U4+ R0+ D5- L2+ ALL3+ y2 U3- R1+ D4+ L0+ ALL2+,14,"DR(1,0) DL(2,2) U(1,1) R(-2,1) ur(-4,-3) dr(2,3) ALL(-1,0)"
PribramCube2024,15.2,f,A,5,UR3+ DR1+ DL5+ UL2- U3- R1- D1- L1+ ALL3+ y2 U0+ R2+ D1- L1- ALL4+,12,"DL(-5,3) UL(1,1) U(1,0) R(-3,2) dr(0,-1) \(0,-1)"
MinervaOpen2022,15.2,d,C,1,UR5- DR2+ DL4- UL1+ U5+ R4+ D4+ L4- ALL6+ y2 U6+ R1+ D1+ L1+ ALL6+ DL UL,14,"UR(0,-1) DR(-1,0) UL(-1,1) D(-1,1) L(-4,-4) ur(-2,5) dl(0,1)"
MinervaOpen2022,15.2,d,C,2,UR6+ DR5- DL3- UL3- U5+ R2+ D1- L6+ ALL1+ y2 U1- R5- D5- L1+ ALL3+ DL UL,18,"DL(-3,0) UL(3,-3) U(1,1) R(-3,3) dr(0,1) dl(-5,5) ul(0,-1) /(-1,-1)"
MinervaOpen2022,15.2,d,C,3,UR4+ DR2- DL3+ UL6+ U2+ R6+ D4+ L2+ ALL2+ y2 U4- R0+ D2- L2- ALL2-,15,"DR(4,4) DL(1,0) D(2,-4) dr(2,-2) /(0,4)"
MinervaOpen2022,15.2,d,C,4,UR4+ DR3+ DL3- UL4+ U3- R6+ D2+ L3+ ALL3+ y2 U1+ R2+ D3+ L1+ ALL2+ UR DR,13,"UR(-1,0) UL(-4,4) D(-2,1) ur(-2,0) dr(0,1) dl(2,2) /(0,1)"
MinervaOpen2022,15.2,d,C,5,UR0+ DR3+ DL5+ UL0+ U2+ R4- D5- L5+ ALL6+ y2 U3- R4- D2- L1+ ALL3+ UR DL,16,"DR(0,-1) U(-2,1) R(1,-1) D(-3,-3) L(2,1) dl(-2,-3) ul(2,0) \(2,1)"
