competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,optimal_simulcount,simulcount_solution
KirkkonummenJouluvaantelyt2025,5.33,d,A,1,UR3+ DR2+ DL5+ UL3- U5+ R1- D3+ L2- ALL3+ y2 U1- R3+ D5- L4+ ALL0+,6,"UR(-5,0) DR(1,0) D(1,-1) dr(2,4) dl(2,3) \(-4,-5)"
KirkkonummenJouluvaantelyt2025,5.33,d,A,2,UR6+ DR5+ DL4+ UL4- U6+ R4+ D0+ L0+ ALL5- y2 U2+ R3+ D0+ L2+ ALL5-,5,"UR(4,5) DR(3,-4) UL(0,-4) R(2,3) ur(-1,2)"
KirkkonummenJouluvaantelyt2025,5.33,d,A,3,UR2- DR1+ DL2- UL3+ U0+ R4+ D1- L5- ALL4+ y2 U1+ R2- D4+ L3- ALL4-,7,"UR(-5,5) DR(2,0) U(4,4) R(0,-2) D(0,1) L(4,-3) \(5,3)"
KirkkonummenJouluvaantelyt2025,5.33,d,A,4,UR5- DR2+ DL6+ UL2+ U4- R1+ D4- L4+ ALL2- y2 U2+ R2+ D4+ L0+ ALL0+,5,"UR(2,0) U(5,2) D(-4,2) dl(1,2) \(-4,2)"
KirkkonummenJouluvaantelyt2025,5.33,d,A,5,UR5- DR3- DL4- UL4+ U4- R2+ D1+ L5+ ALL4- y2 U0+ R5+ D5+ L2- ALL4-,5,"UR(0,1) DR(6,-3) UL(5,3) L(2,-2) dl(-5,5)"
BristolAugust2025,5.33,f,A,1,UR2+ DR3- DL5- UL4+ U6+ R1+ D4- L5- ALL5+ y2 U5+ R1+ D4- L3- ALL0+,5,"L(6,-3) ur(-5,5) dr(0,-5) dl(6,1) /(4,1)"
BristolAugust2025,5.33,f,A,2,UR2+ DR4- DL2+ UL1- U1- R4+ D4+ L3- ALL1+ y2 U0+ R4+ D0+ L4- ALL5+,5,"DR(-2,5) R(0,4) L(2,-4) /(6,0) \(2,0)"
BristolAugust2025,5.33,f,A,3,UR5+ DR2+ DL4+ UL0+ U3- R5- D0+ L5+ ALL1+ y2 U5+ R5+ D4- L3+ ALL2+,6,"UR(-2,-1) DL(6,4) L(-3,-5) dr(5,-4) ul(-2,5) \(-1,0)"
BristolAugust2025,5.33,f,A,4,UR4+ DR2+ DL5+ UL2- U2- R1+ D0+ L0+ ALL4+ y2 U6+ R1- D6+ L6+ ALL0+,6,"UR(3,-2) UL(-3,-1) R(2,-1) D(5,6) dr(-2,6) \(-5,-3)"
BristolAugust2025,5.33,f,A,5,UR5- DR6+ DL1- UL6+ U3+ R4+ D3- L4+ ALL1+ y2 U1+ R5- D5- L6+ ALL1+,5,"DR(-5,1) DL(3,1) U(-4,-5) ur(2,6) ul(1,-5)"
VietnamChampionship2024,5.33,f,A,1,UR3- DR2+ DL3+ UL2- U3- R6+ D1- L3+ ALL5+ y2 U4+ R2+ D4- L1- ALL5+,5,"UL(-4,1) R(-5,5) D(-4,4) dr(6,-1) dl(-3,-3)"
VietnamChampionship2024,5.33,f,A,2,UR3- DR3- DL2- UL3- U4+ R3- D2- L6+ ALL1+ y2 U5- R0+ D0+ L5- ALL5+,5,"UR(-3,4) UL(5,-5) D(-5,-5) L(6,-5) /(2,6)"
