competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_tickcount,tickcount_solution
PribramCube2024,20.6,f,A,1,UR0+ DR4+ DL0+ UL3- U4+ R3- D2+ L4- ALL1+ y2 U2+ R1- D6+ L0+ ALL1+,23,DR1- DL5- U1- ur3+ ul3+ y2 D2+ U1+ DR4+ UR3-
PribramCube2024,20.6,f,A,2,UR4- DR2- DL3- UL1+ U4+ R5+ D5+ L6+ ALL0+ y2 U2- R4- D4- L4- ALL5-,21,UL1- R1+ L3- ul2- \5+ y2 dr1- L2+ UL2+ DR4+
PribramCube2024,20.6,f,A,3,UR1- DR3+ DL6+ UL1- U3+ R3+ D5+ L2- ALL3+ y2 U3+ R3+ D1+ L0+ ALL2+,20,DL2- UL1- R5- /1+ y2 ul4- dr1+ ur2- D1- UR3-
PribramCube2024,20.6,f,A,4,UR5+ DR4- DL6+ UL2+ U4+ R0+ D5- L2+ ALL3+ y2 U3- R1+ D4+ L0+ ALL2+,21,UR1- DR1+ DL2+ U2+ R1- ur4- y2 dl2- UL3+ DL3- DR1- /1-
PribramCube2024,20.6,f,A,5,UR3+ DR1+ DL5+ UL2- U3- R1- D1- L1+ ALL3+ y2 U0+ R2+ D1- L1- ALL4+,18,DL5- UL2+ R3- L1- ALL1+ y2 dr3- R2- DL1+
ForgottenOClocksSBC2026,21.0,2,A,1,UR0+ DR2- DL2+ UL2+ U0+ R5+ D6+ L2+ ALL3- y2 U2+ R1+ D1+ L2+ ALL4-,20,UR2- DL6- R1- ul3- y2 ul3+ dl1- UL2- DR1- \1-
ForgottenOClocksSBC2026,21.0,2,A,2,UR3- DR5+ DL2- UL5+ U6+ R5- D4- L4- ALL3- y2 U3+ R4+ D0+ L1- ALL4+,19,UR3+ DL1+ U1+ y2 ul1+ R4- U3- L1+ \5-
ForgottenOClocksSBC2026,21.0,2,A,3,UR2- DR5- DL3- UL3+ U3- R5+ D5+ L0+ ALL3+ y2 U4+ R3+ D6+ L6+ ALL4+,20,DR2+ U2+ D1+ dr3+ ALL1+ y2 dr1- U1- UL3- DL3- DR3-
ForgottenOClocksSBC2026,21.0,2,A,4,UR3- DR1- DL1- UL1- U3- R0+ D1+ L1- ALL2+ y2 U1- R5- D2+ L2- ALL0+,21,UR4+ DL1+ UL2+ U1+ ALL1- y2 R5+ L3+ UL1+ DL2- \1-
ForgottenOClocksSBC2026,21.0,2,A,5,UR6+ DR3+ DL1- UL5- U5+ R4- D0+ L6+ ALL4- y2 U4- R4+ D1- L1+ ALL3+,25,UR6- R1+ D2- /3+ ALL2- y2 ul1+ D1+ R4+ L1- UR4+
IndianNationals2014,21.0,f,B,1,UR0+ DR0+ DL0+ UL1+ U2+ R0+ D1- L2+ ALL1+ y2 U2- R2+ D2+ L4+ ALL2+ UR,19,DL1+ UL1- U2- L3- y2 ul3- U2+ L4- DR2- ALL1-
IndianNationals2014,21.0,f,B,2,UR3- DR5- DL2+ UL4- U3+ R4+ D5+ L4+ ALL4- y2 U1- R3- D0+ L6+ ALL1- UR DR UL,21,UR4+ DL2- dr1- /3- y2 ur2+ R3+ L5+ UL1+
IndianNationals2014,21.0,f,B,3,UR0+ DR4- DL2- UL1- U3- R4+ D3- L5+ ALL4- y2 U5- R3+ D3+ L0+ ALL2- DL UL,21,DL1- U4+ D2- L1- ul2- /2- y2 dl1- U5+ DR3-
