competition_id,round_type_id,group_id,scramble_num,scramble_count
WesternsPBQLosAngeles2026,f,B,1,1
PocosCuposBogotaXXVI2026,f,A,1,2
AshfieldSummerChallenge2025,f,B,1,2
PocosCuposBogotaXXVI2026,f,A,2,2
SwedishChampionship2025,f,B,1,2
GlasgowAutumnSBO2024,f,A,1,2
DontDNSDenton2025,f,C,1,2
PocosCuposBogotaXXI2026,f,A,1,2
AtlanticOpenSpecial2017,f,A,2,2
WesternsPBQLosAngeles2026,f,C,1,2
JaquecaDiTella2025,f,A,1,2
PleaseBeFinishedBrisbane2026,f,B,1,3
AshfieldSummerChallenge2025,f,B,2,3
AustralianNationals2015,f,A,3,3
4BLDinaMadisonHall2023,f,B,1,3
AtlanticOpenSpecial2015,f,A,1,3
WesternPBQDavis2026,f,A,1,3
WesternPBQChampionshipReno2026,f,B,1,4
AtlanticOpenSpecial2017,f,A,1,4
HobartWinter2024,f,B,1,4
AtlanticOpenSpecial2015,f,A,2,4
WASideStateChampionship2025,f,B,1,4
PocosCuposBogotaXVIII2026,f,A,1,4
HilliardHippocampusXIV2024,f,C,1,4
PlentziaOpen2014,f,A,1,4
AshfieldSummerChallenge2025,f,B,3,4
CubeOninRichardson2025,f,B,1,4
NebraskaChampionship2026,f,B,1,4
EstonianOpen2014,f,A,1,4
MadridSpringOpen2014,f,A,2,5
DogeOpen2016,f,A,1,5
VilaVelhaCalice2025,f,A,1,5
VilaVelhaCalice2025,f,A,2,5
UralWinter2017,f,A,1,5
UralWinter2017,f,A,3,5
UralWinter2017,f,A,2,5
ClashofCubersIIIDavao2025,f,A,1,5
UralOpen2017,f,A,3,5
ManausCuboPlazaOpenII2019,f,A,1,5
MoroccanNationals2024,f,B,1,5
CampeonatodePortugal2015,f,A,1,5
UkrainianNationals2025,f,B,1,5
SideEventsBulgaria2024,f,B,1,5
IHopeItsSolvedEdmonton2025,f,A,1,5
SideEventsBulgaria2024,f,A,1,5
PoliMiMentalBreakdown2019,f,C,2,5
UralOpen2016,f,A,1,5
PoliMiMentalBreakdown2019,f,C,1,5
UralOpen2017,f,A,2,5
YJMoscowSpecial2019,f,A,1,5
PleaseBeQuietDhaka2025,f,A,2,5
VilaVelhaCalice2025,f,B,1,5
UralAutumn2016,f,A,2,5
UralAutumn2016,f,A,3,5
UralAutumn2016,f,A,1,5
UralOpen2017,f,A,1,5
PleaseBeQuietNairobi2024,f,A,1,5
ITeresinaBrightCube2024,f,A,1,6
UnifranzSantaCruz2019,f,A,1,6
EcuadorCubing2024,f,A,1,6
SPOpen2014,f,A,1,6
OpentheDoorMoselle2024,f,A,1,6
EstonianOpen2016,f,A,1,6
UnifranzSantaCruz2019,f,A,2,6
ChachyaOpen2017,f,A,1,6
ChachyaOpen2017,f,A,2,6
VillaRosita2020,f,A,1,6
PinoyOlympics2015,f,A,1,6
PocosCuposBogotaXVII2025,f,A,1,6
RiversidePBQ2026,f,C,1,6
MariupolOpen2018,f,B,1,6
HonoluluHippocampus2024,f,B,1,6
DFWQuietQualifier2026,f,B,1,6
QuietDownInPflugerville2026,f,B,2,6
EstonianOpen2015,f,A,1,6
SlowDownPerth2022,f,B,1,6
SlowDownPerth2022,f,A,1,6
RacetheClock2017,f,A,1,6
RiversidePBQ2026,f,B,1,6
YJChelyabinskSpecial2019,f,A,2,7
PleaseBeQuietBergen2025,f,B,1,7
JLFinalKebabpizza2023,f,A,1,7
AkersKuba2026,f,A,1,7
BarnaulOpen2017,f,A,3,7
GlasgowAutumn2023,f,B,1,7
PocosCuposBogotaXXI2026,f,B,1,7
BarnaulOpen2017,f,A,2,7
LuziceOpen2023,f,A,1,7
BarnaulOpen2017,f,A,1,7
PleaseBeQuietBergen2025,f,B,2,7
PleaseBeQuietBergen2025,f,B,3,7
BayAreaSpeedcubin52015,f,A,2,7
YJChelyabinskSpecial2019,f,A,1,7
BeijingLongEvents2015,f,A,1,7
PleaseBeQuietDhaka2025,f,A,1,7
Juhannus2024,f,A,2,7
Juhannus2024,f,A,1,7
GenTriasSpeedcubingOpenIII2024,f,B,1,7
MichiganCubingClubBeta2016,f,A,1,7
FrenchChampionship2024,f,A,1,7
