competition_id,event_id,round_type_id,group_id,scramble_count
AustralianNationals2025,444,d,C,6
625BayArea2017,222,f,C,6
625BayArea2017,222,f,B,6
625BayArea2017,222,f,A,6
SoutheastChampionship2019,sq1,f,A,6
MichiganMayMadness2014,333,2,A,6
DFWBacktoSchool2025,pyram,1,D,6
RiseofCubersTagum2016,pyram,f,B,5
RiseofCubersTagum2016,skewb,f,A,5
Paraguay2016,222,1,A,5
Paraguay2016,222,1,B,5
Paraguay2016,333,1,A,5
Paraguay2016,333,1,B,5
RiseofCubersTagum2016,pyram,f,A,5
Paraguay2016,333,1,D,5
Paraguay2016,333,2,A,5
Paraguay2016,333,2,B,5
SouthernIndianaQualifier2025,555,f,A,5
RiseofCubersTagum2016,555,f,A,5
Paraguay2016,333,1,C,5
RiseofCubersTagum2016,444,f,A,5
RiseofCubersTagum2016,333oh,c,B,5
RiseofCubersTagum2016,333oh,c,A,5
RiseofCubersTagum2016,333bf,f,A,5
RiseofCubersTagum2016,333,f,A,5
RiseofCubersTagum2016,333,2,B,5
RiseofCubersTagum2016,333,2,A,5
RiseofCubersTagum2016,333,1,B,5
RiseofCubersTagum2016,333,1,A,5
RiseofCubersTagum2016,222,c,B,5
RiseofCubersTagum2016,222,c,A,5
RiseofCubersTagum2016,minx,f,B,5
RiseofCubersTagum2016,444,f,B,5
RiseofCubersTagum2016,555,f,B,5
RiseofCubersTagum2016,minx,f,A,5
ThailandChampionship2025,pyram,f,A,4
IguatemiFortaleza2024,333,1,C,4
CubingonLakeCochituate2025,222,f,A,4
SemarangReuniYuk2015,222,f,A,4
SemarangReuniYuk2015,222,f,B,4
CouffouleuxOpen2025,sq1,f,A,4
SemarangReuniYuk2015,555,f,A,4
DolneOresanyOpen2025,444,c,C,4
RioMarFortalezaII2023,333,1,A,4
NorwichSummer2022,222,d,A,4
SemarangReuniYuk2015,555,f,B,4
WakefieldSummer2024,clock,d,B,4
SemarangReuniYuk2015,444,c,B,4
RenoSpring2018,clock,f,B,4
RenoSpring2018,clock,f,A,4
DuevilleOpen2015,333bf,f,A,4
SemarangReuniYuk2015,333,1,A,4
SlowNSteadyUMDFall2025,333,1,F,4
SemarangReuniYuk2015,333,1,B,4
SemarangReuniYuk2015,333,f,A,4
SemarangReuniYuk2015,333bf,f,A,4
SemarangReuniYuk2015,333bf,f,B,4
SemarangReuniYuk2015,333oh,c,A,4
SemarangReuniYuk2015,444,c,A,4
SemarangReuniYuk2015,333oh,c,B,4
KuboOpen2016,333oh,1,B,3
KuboOpen2016,333oh,f,A,3
KuboOpen2016,444,1,A,3
KuboOpen2016,444,1,B,3
AlmatySpring2024,333,1,A,3
BinghamtonSummer2025,333,1,B,3
RiverMallKyiv2026,pyram,2,B,3
KumaraguruCubeOpen2025,444,d,C,3
CubingDaysNeuburg2025,333,1,A,3
WindsorClassic2017,clock,d,B,3
WindsorClassic2017,clock,f,A,3
KuboOpen2016,333ft,f,A,3
WindsorClassic2017,clock,d,A,3
CubingEkatOpen2021,clock,c,A,3
KuboOpen2016,333oh,1,A,3
KuboOpen2016,minx,f,A,3
KuboOpen2016,555,f,A,3
KuboOpen2016,444,f,A,3
KuboOpen2016,333,2,B,3
KuboOpen2016,333,2,A,3
KuboOpen2016,333,1,B,3
KuboOpen2016,pyram,f,A,3
KuboOpen2016,333,1,A,3
CamargueOpen2024,sq1,d,B,3
KuboOpen2016,222,1,B,3
KuboOpen2016,222,1,A,3
KuboOpen2016,pyram,f,B,3
KublordagUppsalaV2026,sq1,f,A,3
KuboOpen2016,skewb,f,A,3
KuboOpen2016,sq1,f,A,3
KuboOpen2016,333,f,A,3
KuboOpen2016,333bf,f,A,3
KuboOpen2016,222,f,A,3
PanaboSpeedcubeChallenge2017,222,f,B,3
PanaboSpeedcubeChallenge2017,333,1,A,3
PanaboSpeedcubeChallenge2017,333,1,B,3
PanaboSpeedcubeChallenge2017,333,f,A,3
PanaboSpeedcubeChallenge2017,333bf,f,A,3
PanaboSpeedcubeChallenge2017,333oh,f,A,3
PanaboSpeedcubeChallenge2017,skewb,f,B,3
