competition_id,scramble_count
CubingUSANationals2017,3060
USNationals2016,2740
RubiksWCAAsianChampionship2024,2437
CubingUSANationals2018,2296
WC2023,2260
IndianNationals2016,1980
IndianNationals2017,1973
IndianNationals2015,1868
USNationals2015,1838
WC2025,1606
IndianNationals2018,1526
ChinaChampionship2018,1502
MountainViewMultiMadness2023,1485
CubingUSANationals2019,1411
ShaastraCubeOpen2016,1348
SCMU2016,1267
ChinaChampionship2019,1261
NewYorkMultimatePBQII2025,1246
SSNCubeOpen2016,1245
SAC2024,1240
IndianNationals2019,1223
RubiksCubeMumbaiOpen2016,1184
GIC2016,1168
SlowNSteadySpring2016,1164
USNationals2014,1161
ShaastraCubeOpen2015,1159
ChinaChampionship2017,1150
CubingComplexity2016,1149
Euro2014,1120
GeniusCube2016,1109
NewYorkMultimatePBQIV2026,1104
PleaseBeQuietinAstana2023,1103
MexicanChampionship2018,1091
GuangdongRevivalRival2026,1065
NAC2024,1044
NAC2022,1028
SCMU2017,1024
SCMU2015,1024
NationalCubingRegionOpen2016,1010
SCMUOpen2016,1003
CubersEastIndiaOpen2017,995
WC2015,983
CMIFiestaOpen2014,983
FrenchChampionship2025,977
HeartlandChampionships2018,970
SCMUICTOpen2017,964
IndianNationals2014,962
SAC2022,960
WesternChampionship2024,947
BrainStudioCubeOpen2015,938
VITRubiksCubeChallenge2016,937
AsianChampionship2016,934
CubingUSANationals2023,933
KumaraguruCubeOpen2024,929
SEChamp2018,926
IndianOpenRubiksCube2016,923
IndonesianChampionship2017,917
KoreaOpen2025,902
PeruNationals2018,899
RubiksCubePuneOpen2016,898
BrainStudioWinter2015,895
SSNCubeOpen2017,894
BanParityOpen2017,889
WesternChampionship2018,880
DJOPEN2014,872
NewYorkMultimatePBQ2025,871
NortheastChampionship2022,867
AsianChampionship2018,865
Euro2022,860
NorthwestChampionship2024,859
NCROpen2017,855
DutchNationals2019,851
Euro2024,846
RioCubolympics2024,843
RainCityCubeCompetition2017,841
IsraelChampionship2023,841
KorumCubeChallenge2024,838
KoreanChampionship2024,837
CampeonatoBrasileiro2024,837
SoutheastChampionship2022,828
CubingATMOSphere2016,827
MumbaiOpen2014,823
ShaastraCubeOpen2017,819
NorthwestChampionships2017,818
CubingATMOSphere2015,810
WC2017,802
SCMUFreedomOpen2015,802
ColombianNationals2024,802
MathSocOpen2016,798
SwedishChampionship2019,797
MumbaiOpen2015,793
NationalCubingRegion2015,793
SICC2025,790
WC2019,789
UchiMontevideo2016,787
RECCubeChallenge2015,785
PreMundial2015,784
345CubeDayAllen2019,782
Euro2018,782
MultiBlindiJonkoping2026,770
