competition_id,event_id,round_type_id,group_id,scramble_count
AustralianNationals2025,444,d,C,11
SoutheastChampionship2019,sq1,f,A,11
DFWBacktoSchool2025,pyram,1,D,11
Paraguay2016,333,2,B,10
RiseofCubersTagum2016,444,f,B,10
RiseofCubersTagum2016,444,f,A,10
SouthernIndianaQualifier2025,555,f,A,10
RiseofCubersTagum2016,333oh,c,B,10
RiseofCubersTagum2016,333oh,c,A,10
RiseofCubersTagum2016,333,f,A,10
RiseofCubersTagum2016,555,f,B,10
RiseofCubersTagum2016,333,2,A,10
Paraguay2016,333,1,A,10
Paraguay2016,333,1,B,10
Paraguay2016,333,1,C,10
RiseofCubersTagum2016,222,c,B,10
RiseofCubersTagum2016,222,c,A,10
Paraguay2016,333,1,D,10
Paraguay2016,333,2,A,10
RiseofCubersTagum2016,333,2,B,10
RiseofCubersTagum2016,minx,f,A,10
RiseofCubersTagum2016,minx,f,B,10
RiseofCubersTagum2016,pyram,f,A,10
RiseofCubersTagum2016,555,f,A,10
RiseofCubersTagum2016,pyram,f,B,10
RiseofCubersTagum2016,skewb,f,A,10
Paraguay2016,222,1,A,10
Paraguay2016,222,1,B,10
ThailandChampionship2025,pyram,f,A,9
RenoSpring2018,clock,f,B,9
SemarangReuniYuk2015,222,f,A,9
SemarangReuniYuk2015,333oh,c,A,9
SemarangReuniYuk2015,333oh,c,B,9
SemarangReuniYuk2015,222,f,B,9
SlowNSteadyUMDFall2025,333,1,F,9
SemarangReuniYuk2015,444,c,A,9
SemarangReuniYuk2015,444,c,B,9
SemarangReuniYuk2015,555,f,A,9
RenoSpring2018,clock,f,A,9
SemarangReuniYuk2015,555,f,B,9
CouffouleuxOpen2025,sq1,f,A,9
CubingonLakeCochituate2025,222,f,A,9
SemarangReuniYuk2015,333,f,A,9
SemarangReuniYuk2015,333,1,B,9
IguatemiFortaleza2024,333,1,C,9
SemarangReuniYuk2015,333,1,A,9
DolneOresanyOpen2025,444,c,C,9
NorwichSummer2022,222,d,A,9
RioMarFortalezaII2023,333,1,A,9
WakefieldSummer2024,clock,d,B,9
SEChamp2018,clock,1,B,8
CebuOpen2015,333,1,A,8
SEChamp2018,clock,1,A,8
BeheshtiCubingDays2014,333oh,f,A,8
SEChamp2018,clock,2,A,8
FSUbers1102026,pyram,1,C,8
CebuOpen2015,444,1,B,8
SEChamp2018,clock,2,B,8
SEChamp2018,clock,2,C,8
CebuOpen2015,333oh,f,B,8
CebuOpen2015,333oh,f,A,8
CebuOpen2015,333,f,A,8
CebuOpen2015,333,2,B,8
CebuOpen2015,333,2,A,8
CebuOpen2015,333,1,B,8
ZeelandOpen2016,clock,f,A,8
ZeelandOpen2016,clock,f,B,8
CebuOpen2015,444,1,A,8
CubeMoreinArdmore2025,333,1,A,8
SEChamp2018,clock,1,D,8
BeheshtiCubingDays2014,pyram,f,A,8
PugetSoundSpring2016,333,1,E,8
SEChamp2018,clock,1,C,8
PugetSoundSpring2016,333,1,D,8
ClassicCity4Charity2017,clock,f,A,8
KublordagUppsalaV2026,sq1,f,A,8
VarshaRituCubeOpen2022,pyram,f,A,8
CebuOpen2015,444,f,A,8
RidgefieldSpring2024,pyram,1,B,8
CubingatCarson2024,444,f,A,8
ITeresinaBrightCube2024,skewb,c,A,8
BucharestFunkyCubes2023,pyram,f,A,8
CebuOpen2015,555,c,B,8
BeheshtiCubingDays2014,pyram,1,A,8
BeheshtiCubingDays2014,555,f,A,8
CebuOpen2015,555,c,A,8
ItsSarzanaOclock2023,clock,f,A,8
CebuOpen2015,pyram,f,A,8
ClassicCitySpooks2017,clock,f,A,8
ThailandChampionship2024,333,1,A,8
ClassicCitySpooks2017,clock,f,B,8
SuankularbOpen2024,clock,2,B,8
RoseCityFirstTimersB2022,333,1,A,8
CFLFinalLodz2025,222,1,A,8
PugetSoundSpring2016,333,1,C,8
PugetSoundSpring2016,333,1,B,8
FloridaFeast2017,clock,c,A,8
PugetSoundSpring2016,333,1,A,8
TridentumOpen2023,skewb,d,B,8
SingaporeSkewbyMarch2026,555,d,B,8
