competition_id,event_id,round_type_id,group_id,scramble_count
3x3inMadison2026,333,f,B,3
3x3inMadison2026,333,f,C,3
3x3inMadison2026,333,f,G,3
3x3inMadison2026,333,f,I,3
3x3inMadison2026,333,f,M,3
AmoreAmorebietaOpen2026,333,f,A,3
AmoreAmorebietaOpen2026,333,f,C,3
AmoreAmorebietaOpen2026,333,f,D,3
AmoreAmorebietaOpen2026,333,f,E,3
AmoreAmorebietaOpen2026,333,f,F,3
AmoreAmorebietaOpen2026,333,f,G,3
AmoreAmorebietaOpen2026,333,f,I,3
AmoreAmorebietaOpen2026,333,f,J,3
AmoreAmorebietaOpen2026,333,f,N,3
BayAreaSpeedcubin92016,222,f,A,1
BayAreaSpeedcubin92016,222,f,B,1
BayAreaSpeedcubin92016,222,f,C,1
BayAreaSpeedcubin92016,222,f,D,1
BayAreaSpeedcubin92016,222,f,E,1
BayAreaSpeedcubin92016,222,f,F,1
BayAreaSpeedcubin92016,222,f,G,1
BayAreaSpeedcubin92016,222,f,H,1
BayAreaSpeedcubin92016,222,f,I,1
CubingUndertheStars2018,222,f,A,3
DFWCubingSpring2026,333,f,A,3
DFWCubingSpring2026,333,f,B,3
DFWCubingSpring2026,333,f,C,3
DFWCubingSpring2026,333,f,E,3
DFWCubingSpring2026,333,f,G,3
DFWCubingSpring2026,333,f,H,3
DFWCubingSpring2026,333,f,K,3
DFWCubingSpring2026,333,f,M,3
DFWCubingSpring2026,333,f,N,3
DFWCubingSpring2026,333,f,O,3
DFWCubingSpring2026,333oh,f,A,3
DFWCubingSpring2026,333oh,f,B,3
DFWCubingSpring2026,333oh,f,C,3
DFWCubingSpring2026,333oh,f,E,3
DFWCubingSpring2026,333oh,f,H,3
DFWCubingSpring2026,444,f,A,3
DFWCubingSpring2026,444,f,C,3
DFWCubingSpring2026,444,f,F,3
DuperSuperDavisSpring2026,333,f,A,3
DuperSuperDavisSpring2026,333,f,B,3
DuperSuperDavisSpring2026,333,f,J,3
DuperSuperDavisSpring2026,333,f,K,3
DuperSuperDavisSpring2026,333,f,L,3
DuperSuperDavisSpring2026,333,f,M,3
DuperSuperDavisSpring2026,333,f,N,3
DuperSuperDavisSpring2026,333,f,V,1
FLIPOpen2015,sq1,f,A,1
GuangdongRevivalRival2026,333,f,G,3
GuangdongRevivalRival2026,333,f,H,3
MelbourneSummer2026,333,f,E,3
MelbourneSummer2026,333,f,H,3
MelbourneSummer2026,333,f,I,3
MelbourneSummer2026,333,f,J,3
NZNorthIslandChampionship2026,333,f,M,3
NZSouthIslandChamps2026,333,f,I,3
NZSouthIslandChamps2026,333,f,J,3
NZSouthIslandChamps2026,333,f,P,3
NZSouthIslandChamps2026,333,f,Q,3
ParetsOpen2026,333,f,B,3
ParetsOpen2026,333,f,C,3
ParetsOpen2026,333,f,D,3
ParetsOpen2026,333,f,F,3
ParetsOpen2026,333,f,G,3
ParetsOpen2026,333,f,L,3
ParetsOpen2026,333,f,O,3
ParetsOpen2026,333,f,Q,3
RacetheClock2017,333,2,A,3
SacCubingII2017,minx,f,A,3
SacCubingII2017,minx,f,B,3
SacCubingII2017,minx,f,C,3
SeoulSpring2026,333,f,A,3
SeoulSpring2026,333,f,C,3
SeoulSpring2026,333,f,D,3
SeoulSpring2026,333,f,E,3
SeoulSpring2026,333,f,F,3
SvetlyeGoryOpen2017,333,3,A,3
XianCherryBlossom2026,333,f,A,3
XianCherryBlossom2026,333,f,B,3
XianCherryBlossom2026,333,f,C,3
XianCherryBlossom2026,333,f,E,3
XianCherryBlossom2026,333,f,G,3
XianCherryBlossom2026,333,f,H,3
XianCherryBlossom2026,333,f,J,3
XianCherryBlossom2026,333,f,L,3
XianCherryBlossom2026,333,f,M,3
XuzhouZenith2026,333,f,A,3
XuzhouZenith2026,333,f,B,3
XuzhouZenith2026,333,f,C,3
XuzhouZenith2026,333,f,D,3
XuzhouZenith2026,333,f,G,3
XuzhouZenith2026,333,f,H,3
XuzhouZenith2026,333,f,J,3
XuzhouZenith2026,333,f,K,3
XuzhouZenith2026,333,f,M,3
XuzhouZenith2026,333,f,N,3
XuzhouZenith2026,333,f,O,3
