competition_id,event_id,round_type_id,group_id,scramble_count
3x3inMadison2026,333,f,A,4
3x3inMadison2026,333,f,B,3
3x3inMadison2026,333,f,C,3
3x3inMadison2026,333,f,F,4
3x3inMadison2026,333,f,G,3
3x3inMadison2026,333,f,I,3
3x3inMadison2026,333,f,J,4
3x3inMadison2026,333,f,K,4
3x3inMadison2026,333,f,M,3
625BayArea2017,222,f,A,1
625BayArea2017,222,f,B,1
625BayArea2017,222,f,C,1
APJBLDOpen2015,333,1,A,2
APJBLDOpen2015,333,1,B,2
APJBLDOpen2015,333,1,C,2
APJBLDOpen2015,333,1,D,2
APJBLDOpen2015,333,1,E,2
APJBLDOpen2015,333,1,F,2
APJBLDOpen2015,333,1,G,2
APJBLDOpen2015,333,1,H,2
APJBLDOpen2015,333,1,I,2
APJBLDOpen2015,333,1,J,2
APJBLDOpen2015,333,1,K,2
APJBLDOpen2015,333,1,L,2
APJBLDOpen2015,333,1,M,2
APJBLDOpen2015,333,1,N,2
APJBLDOpen2015,333,1,O,2
Ags2014,minx,d,A,3
Ags2014,minx,d,B,3
AmoreAmorebietaOpen2026,333,f,A,3
AmoreAmorebietaOpen2026,333,f,B,4
AmoreAmorebietaOpen2026,333,f,C,3
AmoreAmorebietaOpen2026,333,f,D,3
AmoreAmorebietaOpen2026,333,f,E,3
AmoreAmorebietaOpen2026,333,f,F,3
AmoreAmorebietaOpen2026,333,f,G,3
AmoreAmorebietaOpen2026,333,f,H,4
AmoreAmorebietaOpen2026,333,f,I,3
AmoreAmorebietaOpen2026,333,f,J,3
AmoreAmorebietaOpen2026,333,f,K,4
AmoreAmorebietaOpen2026,333,f,L,4
AmoreAmorebietaOpen2026,333,f,M,4
AmoreAmorebietaOpen2026,333,f,N,3
AmoreAmorebietaOpen2026,333,f,O,4
BajaOpen2016,222,f,A,3
BajaOpen2016,333,f,A,3
BajaOpen2016,333oh,f,A,3
BajaOpen2016,444,f,A,3
BayAreaSpeedcubin92016,222,f,A,1
BayAreaSpeedcubin92016,222,f,B,1
BayAreaSpeedcubin92016,222,f,C,1
BayAreaSpeedcubin92016,222,f,D,1
