competition_id,event_id,round_type_id,group_id,scramble_count
AmoreAmorebietaOpen2026,333bf,f,A,3
AnatoliyMorozOpen2015,333bf,1,A,4
AnatoliyMorozOpen2015,333bf,1,B,4
AnatoliyMorozOpen2015,777,c,A,4
AnatoliyMorozOpen2015,777,c,B,4
AquarelaSpeedcubing2015,444bf,f,A,3
AquarelaSpeedcubing2015,555bf,f,A,3
AsturiasOpen2017,555bf,f,A,3
BasauriOpen2014,444bf,f,A,3
Brasileiro2017,555bf,f,A,3
CCPAOpen2018,333bf,f,A,3
CSCODDEdition2018,333bf,f,A,3
CaltechFall2016,444bf,f,A,3
CaltechFall2016,444bf,f,B,3
ChachyaOpenRotaryEdition2018,444bf,f,A,2
ChampagneOpen2014,444bf,f,A,3
ChampagneOpen2014,555bf,f,A,3
ChampagneOpen2015,444bf,f,A,3
ChampagneOpen2015,555bf,f,A,3
ChampagneOpen2016,444bf,f,A,3
ChampagneOpen2016,444bf,f,B,3
ChampagneOpen2016,444bf,f,C,3
ChampagneOpen2016,444bf,f,D,3
ChampagneOpen2016,555bf,f,A,3
ChampagneOpen2016,555bf,f,B,3
ChampagneOpen2016,555bf,f,C,3
ChampagneOpen2016,555bf,f,D,3
ChampagneOpen2017,444bf,f,A,3
ChampagneOpen2017,555bf,f,A,3
ClassicSanLorenzoOpen2016,444bf,f,A,3
ClassicSanLorenzoOpen2016,555bf,f,A,3
ColombiaNationals2014,555bf,f,A,3
CopadeInvierno2017,666,c,A,3
CopadeInvierno2017,666,c,B,3
DFWCubingSpring2026,333bf,f,C,3
DneprCubeDay2014,333bf,f,A,3
DneprCubeDay2014,333bf,f,B,3
EstonianOpen2014,333bf,f,A,3
FLIPRubikOpen2016,444bf,f,A,3
FLIPRubikOpen2016,555bf,f,A,3
France2016,444bf,f,A,3
France2016,555bf,f,A,3
FrenchChampionship2014,555bf,f,A,3
FuzhouOpen2014,333bf,f,A,3
GuangzhouWushanOpen2014,333bf,f,A,3
HappySpringMDQ2018,444bf,f,A,3
ItalianChampionship2014,444bf,f,A,3
ItalianChampionship2014,555bf,f,A,3
KSFAtyrauCity2019,444bf,f,A,3
KSFAtyrauCity2019,555bf,f,A,3
KharkivSpecial2014,333ft,1,A,3
KharkivSpecial2014,333ft,f,A,3
KharkivSpecial2014,444bf,f,A,3
KharkivSpecial2014,555bf,f,A,3
KharkivSpecial2014,666,d,A,3
KharkivSpecial2014,666,f,A,3
KharkivSpecial2014,777,d,A,3
KharkivSpecial2014,777,f,A,3
MonterotondoOpen2015,555bf,f,A,2
MontfortChampionship2016,333bf,f,A,3
NaftusiaOpen2014,333bf,f,A,3
OdessaOpen2014,333bf,f,A,3
OdessaOpen2014,333ft,c,A,3
OleksandriiaOpen2014,333bf,f,A,3
OleksandriiaOpen2014,333bf,f,B,3
Paraguay2017,333bf,f,A,3
Paraguay2017,666,c,A,3
Paraguay2017,666,c,B,3
Paraguay2017,777,c,A,3
Paraguay2017,777,c,B,3
ParaguayNationals2018,333bf,f,A,3
ParaguayNationals2018,777,c,A,3
PhilippineChampionship2016,555bf,f,A,3
PhilippineChampionship2017,555bf,f,A,3
PodolianOpen2014,333bf,f,A,3
PodolianOpen2014,333ft,c,A,3
SESCSantos2015,555bf,f,A,3
SmartCubeOpen2017,444bf,f,A,2
SmartCubeOpen2017,555bf,f,A,2
UberlandiaOpen2015,555bf,f,A,3
UkrainianNationals2014,333bf,1,A,3
UkrainianNationals2014,333bf,1,B,3
UkrainianNationals2014,333bf,f,A,3
UkrainianNationals2014,333ft,f,A,3
UkrainianNationals2014,444bf,f,A,3
UkrainianNationals2014,666,c,A,3
UkrainianNationals2014,666,c,B,3
UkrainianNationals2014,777,c,A,3
UkrainianNationals2014,777,c,B,3
UkrainianNationals2016,444bf,f,A,3
UkrainianNationals2017,444bf,f,A,2
UkrainianNationals2017,555bf,f,A,2
UkrainianOpen2015,444bf,f,A,3
VenezuelaNationals2015,444bf,f,A,3
VinderupOpen2016,555bf,f,A,3
WelcomeToCambridge2014,444bf,f,A,3
WelcomeToCambridge2014,555bf,f,A,3
YuzhnoukrainskOpen2015,333bf,f,A,3
ZhejiangUniversityOpen2014,333bf,f,A,3
ZhengzhouOpen2014,333bf,f,A,3
