competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,cspobl_slicecount,cspobl_solution
SpanishChampionship2025,5.33,e,B,0,1,"(-5,0) / (-1,2) / (1,-2) / (-4,-1) / (1,-2) / (6,-1) / (0,-3) / (5,-3) / (0,-3) / (6,-3)",5,"(-2,1)/(-1,0)/(-3,0)/(-3,2)/(-3,6)/(3,-2)"
SpanishChampionship2025,5.33,e,B,0,2,"(3,-4) / (0,6) / (0,3) / (4,-2) / (-4,0) / (0,-3) / (4,-1) / (0,-4) / (-2,-5) / (-2,0) / (-4,0) / (-4,-1) /",8,"(3,-2)/(4,0)/(-4,0)/(-5,0)/(-2,2)/(-3,-2)/(-3,0)/(1,-3)/(2,0)"
SpanishChampionship2025,5.33,e,B,0,3,"(0,-4) / (0,-3) / (4,1) / (-3,0) / (0,-3) / (2,-1) / (-5,-3) / (6,-3) / (1,0) / (2,-4) / (4,0)",5,"(3,-3)/(1,0)/(-4,0)/(0,3)/(-3,2)/(3,-2)"
SpanishChampionship2025,5.33,e,B,0,4,"(1,0) / (0,-3) / (-1,2) / (1,-2) / (0,-3) / (-3,0) / (0,-4) / (6,-3) / (3,-4) / (0,-2) / (0,-4) / (-5,-4) / (-4,0)",8,"(4,2)/(3,-2)/(2,-3)/(1,2)/(3,0)/(2,0)/(3,3)/(4,1)/(2,0)"
SpanishChampionship2025,5.33,e,B,0,5,"(0,2) / (4,-5) / (0,-3) / (2,-4) / (-2,-5) / (-3,0) / (-1,0) / (3,0) / (3,0) / (4,-3) / (4,0) / (6,0) / (-2,-5)",6,"(-4,-1)/(0,2)/(-2,-3)/(-2,-1)/(-3,0)/(5,-3)/(3,-2)"
SpanishChampionship2025,5.33,e,B,1,1,"(-5,0) / (5,-4) / (6,0) / (-2,-5) / (-3,0) / (-4,0) / (0,-3) / (-3,-1) / (3,0) / (3,-5) /",4,"(3,2)/(-5,0)/(3,0)/(-3,4)/(2,0)"
SpanishChampionship2025,5.33,e,B,1,2,"(-5,3) / (-3,3) / (-1,-1) / (-5,-2) / (-1,-4) / (4,0) / (-3,0) / (0,-3) / (-1,-3) / (1,0)",7,"(6,0)/(0,3)/(-1,-2)/(-3,0)/(-2,-3)/(3,0)/(2,2)/(3,-2)"
TokyoWinter2025,5.33,d,A,0,1,"(4,0) / (-1,-1) / (-5,-2) / (-1,-4) / (-3,0) / (-3,-2) / (3,0) / (-3,-4) / (-5,0) / (0,-4) / (-4,-3) /",7,"(2,-3)/(-2,3)/(-2,1)/(2,-3)/(2,3)/(3,0)/(6,5)/(3,-2)"
TokyoWinter2025,5.33,d,A,0,2,"(4,3) / (-1,-1) / (0,-3) / (4,-2) / (-1,-1) / (-5,-3) / (6,-3) / (1,0) / (0,-2) / (-4,0) / (0,-2) / (-4,0) /",7,"(3,2)/(3,2)/(0,-2)/(2,-2)/(-3,-2)/(0,-3)/(-5,3)/(2,0)"
TokyoWinter2025,5.33,d,A,0,3,"(0,-1) / (-5,-2) / (-4,5) / (3,0) / (-3,0) / (3,-3) / (4,0) / (-3,0) / (-3,0) / (-2,0) / (0,-2) / (4,-1) / (6,-2)",5,"(0,-4)/(3,2)/(4,0)/(1,-4)/(-3,6)/"
TokyoWinter2025,5.33,d,A,0,4,"(0,-1) / (0,3) / (0,3) / (-5,-5) / (-4,-4) / (3,0) / (3,-2) / (3,0) / (-3,-3) / (-3,0) / (4,-5) / (4,0)",5,"(1,-4)/(3,3)/(-1,3)/(-3,0)/(-5,-2)/(2,0)"
TokyoWinter2025,5.33,d,A,0,5,"(-2,0) / (0,6) / (3,0) / (5,-4) / (1,-2) / (-3,0) / (-3,-1) / (-3,-3) / (5,0) / (2,0) / (-4,-4) / (4,0) / (-2,0)",6,"(-2,2)/(2,2)/(0,-2)/(1,2)/(3,3)/(-3,1)/(2,0)"
