competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,csp_slicecount,csp_solution
CrystalOpen2018,2.33,c,B,0,1,"(0,-1) / (-2,-5) / (2,-1) / (-2,-2) / (-3,0) / (2,0) / (-3,0) / (3,-3) / (-2,-1) / (6,-2) / (0,-3) / (0,-2) /",6,"(2,-1)/(4,-1)/(1,-2)/(-4,0)/(2,-3)/(3,3)/"
CrystalOpen2018,2.33,c,B,0,2,"(-5,-3) / (-1,-1) / (-3,0) / (1,-2) / (-4,-1) / (1,0) / (0,-3) / (5,-2) / (-4,0) / (3,0) / (6,0) / (0,-2) / (-4,0)",5,"(-4,-2)/(-3,0)/(0,-4)/(-4,1)/(3,0)/"
CrystalOpen2018,2.33,c,B,0,3,"(1,0) / (0,3) / (0,-3) / (-4,-1) / (6,-3) / (0,-3) / (6,-5) / (6,-3) / (2,0) / (1,-5) / (-1,-3) /",1,"(6,3)/(2,-2)"
CrystalOpen2018,2.33,c,B,0,4,"(0,2) / (0,3) / (3,0) / (0,-3) / (-2,-5) / (3,-3) / (-1,-3) / (-3,0) / (-3,0) / (-1,0) / (0,-4) / (0,-2) / (-4,0) / (-5,0)",4,"(2,0)/(2,2)/(1,-4)/(3,3)/(2,-2)"
CrystalOpen2018,2.33,c,B,0,5,"(-5,-3) / (-4,-1) / (-3,0) / (3,0) / (-2,0) / (-3,0) / (-1,0) / (0,-2) / (0,-3) / (-4,0) / (3,0) / (-4,-3) / (-1,0)",6,"(1,-3)/(4,0)/(-3,0)/(-2,0)/(2,1)/(3,0)/"
CrystalOpen2018,2.33,c,B,1,1,"(-5,0) / (-4,-4) / (-3,0) / (-2,-2) / (0,-3) / (0,-3) / (-3,-1) / (3,0) / (-3,0) / (3,0) / (-3,0) / (-1,0) /",0,"(3,-2)"
CrystalOpen2018,2.33,c,B,1,2,"(0,-1) / (1,4) / (-4,5) / (-2,-5) / (5,-1) / (-5,0) / (3,0) / (2,0) / (0,-3) / (4,0) / (6,0)",2,"(3,3)/(6,3)/"
BekubesGold2019,2.67,d,B,0,1,"(0,2) / (3,0) / (-3,0) / (4,-5) / (3,0) / (-3,0) / (5,0) / (6,-3) / (-4,0) / (4,-5)",2,"(-3,2)/(3,0)/(2,-2)"
BekubesGold2019,2.67,d,B,0,2,"(-2,0) / (-1,-4) / (1,1) / (-3,0) / (3,-3) / (2,0) / (-3,0) / (0,-3) / (-2,0) / (-2,0) / (2,0) / (2,-4) / (6,-5)",5,"(-2,-1)/(0,-2)/(2,0)/(1,-4)/(6,-3)/"
BekubesGold2019,2.67,d,B,0,3,"(-5,0) / (5,-1) / (0,3) / (0,-3) / (-5,-2) / (0,-3) / (5,-3) / (-3,0) / (4,-3) / (2,-1) / (1,0) / (2,0)",3,"(-2,0)/(-4,1)/(3,0)/"
BekubesGold2019,2.67,d,B,0,4,"(4,6) / (-4,-1) / (-3,0) / (3,0) / (-2,-5) / (3,0) / (0,-1) / (6,-3) / (0,-4) / (0,-3) / (-3,0) /",2,"(1,0)/(6,-3)/"
BekubesGold2019,2.67,d,B,0,5,"(4,0) / (-3,0) / (0,-3) / (5,-4) / (-2,-3) / (0,-3) / (-3,0) / (3,-4) / (-2,0) / (0,-4) / (0,-1) / (2,0) / (2,0) /",5,"(4,2)/(2,3)/(2,-3)/(2,1)/(3,0)/"
BekubesGold2019,2.67,d,B,1,1,"(0,-4) / (4,4) / (-3,0) / (3,0) / (-1,-4) / (-3,0) / (3,-2) / (-3,-3) / (6,-3) / (-4,-2) / (0,-2) / (-2,0)",4,"(2,0)/(0,2)/(1,-4)/(3,3)/(2,-2)"
BekubesGold2019,2.67,d,B,1,2,"(0,5) / (1,1) / (-3,-3) / (-3,0) / (6,-1) / (-3,-3) / (5,-2) / (2,-4) / (2,0) / (-2,0)",3,"(0,2)/(1,-4)/(3,3)/(2,-2)"
PhoenixCubeChampionship2018,2.67,f,B,0,1,"(1,-3) / (0,-3) / (-4,-4) / (-2,-5) / (2,-4) / (-3,-5) / (0,-3) / (3,0) / (-3,0)",2,"(3,-3)/(3,0)/(2,-2)"
PhoenixCubeChampionship2018,2.67,f,B,0,2,"(-5,3) / (-3,3) / (2,-1) / (3,-3) / (3,0) / (1,0) / (-3,0) / (5,0) / (4,0) / (-4,-3) / (0,-4) / (-4,0) / (0,-2)",5,"(0,-2)/(4,0)/(3,-2)/(1,2)/(6,-3)/"
PhoenixCubeChampionship2018,2.67,f,B,0,3,"(0,-1) / (4,-2) / (0,3) / (3,0) / (-3,0) / (-1,-4) / (-2,-3) / (-3,0) / (5,0) / (-3,0)",2,"(-3,1)/(3,0)/"
