competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_slicecount,optimal_solution
VillanuevadelaCanadaOpen2017,8.33,c,A,0,1,"(0,-1) / (-5,-2) / (3,0) / (3,0) / (5,-1) / (0,-2) / (3,0) / (0,-3) / (-1,-5) / (2,-3) / (4,-3) / (2,-4)",11,"(3,-4)/(0,6)/(4,0)/(0,3)/(4,-3)/(0,2)/(2,0)/(0,-3)/(3,6)/(4,-3)/(-1,2)/(6,-5)"
VillanuevadelaCanadaOpen2017,8.33,c,A,0,2,"(4,3) / (0,3) / (0,-3) / (-1,-4) / (0,-3) / (0,-3) / (-2,0) / (0,-3) / (-1,0) / (-3,-4) / (1,-2) / (-4,-2) / (-3,0)",10,"(3,1)/(3,-3)/(0,-4)/(1,-4)/(0,-5)/(4,2)/(4,0)/(1,3)/(3,0)/(3,3)/(6,0)"
VillanuevadelaCanadaOpen2017,8.33,c,A,0,3,"(1,0) / (-3,0) / (0,-3) / (-1,-1) / (4,-5) / (-4,0) / (-3,0) / (4,-1) / (2,0) / (-2,0) / (2,0) / (1,0) / (-1,-5)",8,"(0,6)/(4,5)/(0,2)/(4,6)/(2,0)/(1,-2)/(5,-3)/(-3,0)/(0,6)"
VillanuevadelaCanadaOpen2017,8.33,c,A,0,4,"(0,-4) / (3,0) / (4,1) / (2,-4) / (3,0) / (-2,-2) / (2,0) / (-3,0) / (-2,-3) / (0,-3) / (0,-3) / (-1,0)",9,"(3,-1)/(4,1)/(5,-1)/(3,-5)/(0,2)/(4,0)/(3,6)/(4,0)/(2,-1)/(6,1)"
VillanuevadelaCanadaOpen2017,8.33,c,A,0,5,"(4,0) / (2,-4) / (0,-3) / (0,-3) / (-2,-5) / (3,-1) / (-3,-3) / (-3,0) / (0,-4) / (-4,0) / (-2,-5)",8,"(2,-3)/(2,6)/(2,6)/(3,-2)/(3,3)/(2,3)/(3,6)/(-3,6)/(0,4)"
VillanuevadelaCanadaOpen2017,8.33,c,A,1,1,"(-3,-4) / (1,1) / (3,0) / (-3,0) / (3,0) / (-4,-1) / (0,-2) / (0,-3) / (-2,-3) / (-4,-4) /",8,"(4,3)/(3,6)/(3,-1)/(4,-2)/(2,5)/(1,-2)/(5,-1)/(-2,-5)/(-1,3)"
VillanuevadelaCanadaOpen2017,8.33,c,A,1,2,"(-3,2) / (1,-5) / (-4,-4) / (-3,0) / (-5,0) / (-3,0) / (-1,0) / (2,0) / (0,-5) / (-4,-5) / (-2,0) / (-4,-1) / (6,0)",12,"(5,-2)/(3,-4)/(3,-4)/(2,-5)/(1,-4)/(0,-1)/(0,3)/(3,5)/(0,-5)/(3,0)/(4,0)/(6,3)/(5,3)"
HeartlandChampionships2017,8.33,c,A,0,1,"(1,0) / (-3,0) / (-1,-1) / (-3,0) / (-5,-5) / (-3,0) / (3,-1) / (-3,0) / (-1,-2) / (-2,0) / (4,0) / (-4,-3) /",10,"(2,1)/(2,-2)/(2,4)/(2,6)/(2,6)/(4,-3)/(0,-3)/(0,1)/(3,0)/(2,-1)/(0,-5)"
HeartlandChampionships2017,8.33,c,A,0,2,"(0,-1) / (-3,3) / (0,-3) / (-5,-5) / (6,0) / (-4,-1) / (-2,0) / (0,-3) / (-3,0) / (6,-2) / (4,0) / (-4,0) / (3,0) /",11,"(4,6)/(4,-4)/(4,-3)/(3,0)/(4,1)/(2,6)/(0,3)/(5,-1)/(4,6)/(0,-3)/(2,0)/(3,-2)"
HeartlandChampionships2017,8.33,c,A,0,3,"(0,5) / (0,3) / (0,-3) / (-2,-2) / (-3,0) / (3,0) / (0,-3) / (2,0) / (-3,0) / (4,-1) / (0,-2) / (2,0) / (1,0) / (0,-1)",11,"(2,-2)/(0,-4)/(3,-4)/(4,0)/(1,6)/(1,3)/(2,0)/(0,3)/(3,-3)/(3,-4)/(1,-5)/(5,-3)"
HeartlandChampionships2017,8.33,c,A,0,4,"(6,5) / (1,4) / (-3,0) / (6,-4) / (0,-3) / (-3,-2) / (-1,-2) / (-5,0) / (0,-4)",8,"(0,4)/(5,0)/(1,2)/(3,2)/(0,3)/(0,-2)/(0,3)/(5,2)/(6,-5)"
HeartlandChampionships2017,8.33,c,A,0,5,"(4,0) / (5,-4) / (4,1) / (5,-4) / (-5,-2) / (-3,-1) / (6,-3) / (1,-4) / (2,0) / (5,0)",9,"(1,6)/(0,-2)/(5,-2)/(0,-3)/(1,3)/(5,2)/(4,-5)/(2,5)/(-5,4)/(-4,0)"
HeartlandChampionships2017,8.33,c,A,1,1,"(0,-4) / (4,1) / (-1,2) / (-3,0) / (0,-3) / (-2,-2) / (2,0) / (-3,0) / (-2,-1) / (-2,-3) / (0,-2) / (-4,0) /",8,"(0,6)/(4,6)/(0,3)/(2,4)/(2,1)/(3,3)/(0,5)/(1,-5)/(2,0)"
HeartlandChampionships2017,8.33,c,A,1,2,"(-2,0) / (3,6) / (0,3) / (2,-1) / (4,-2) / (-3,-4) / (3,0) / (2,-3) / (0,-3) / (0,-5) / (4,0)",8,"(2,-3)/(0,-5)/(5,-3)/(5,3)/(0,-5)/(0,3)/(1,-3)/(5,5)/(-3,-5)"
AvenidaChileXIII2024,8.67,d,A,0,1,"(0,5) / (3,0) / (0,-3) / (0,-3) / (-5,-2) / (6,0) / (3,0) / (0,-4) / (-3,-3) / (-3,-2) / (-2,0) / (0,-4) / (6,0)",10,"(2,-2)/(2,-2)/(2,-4)/(4,-4)/(2,0)/(0,2)/(5,3)/(3,0)/(3,3)/(-2,0)/(5,3)"
AvenidaChileXIII2024,8.67,d,A,0,2,"(0,2) / (4,4) / (-4,5) / (-5,-5) / (-3,0) / (3,0) / (0,-4) / (3,0) / (0,-5) / (-4,0) / (0,-2)",8,"(0,2)/(1,6)/(2,6)/(0,3)/(1,-3)/(5,5)/(1,-2)/(2,2)/(6,4)"
AvenidaChileXIII2024,8.67,d,A,0,3,"(-2,0) / (3,0) / (2,-1) / (4,-2) / (-3,0) / (5,0) / (3,0) / (-5,-3) /",8,"(5,5)/(1,-3)/(3,-3)/(0,3)/(0,-5)/(0,-3)/(2,5)/(4,-5)/(2,0)"
AvenidaChileXIII2024,8.67,d,A,0,4,"(-2,0) / (-3,0) / (3,0) / (2,-1) / (-5,-2) / (-4,-4) / (1,0) / (0,-3) / (-1,0) / (4,0) / (2,0) / (-3,-2) / (-2,-1)",10,"(4,1)/(1,6)/(5,-2)/(3,-5)/(0,3)/(0,3)/(3,1)/(5,-4)/(0,3)/(-2,1)/(-4,-3)"
AvenidaChileXIII2024,8.67,d,A,0,5,"(0,-1) / (3,0) / (6,-3) / (4,-2) / (2,-4) / (0,-3) / (0,-5) / (0,-3) / (6,0) / (-3,0) / (-3,-5) / (0,-2) / (-5,-2)",10,"(5,-4)/(0,2)/(3,4)/(0,-2)/(2,-4)/(1,4)/(2,6)/(0,3)/(3,-1)/(-2,-5)/(-4,-3)"
AvenidaChileXIII2024,8.67,d,A,1,1,"(0,5) / (-5,4) / (-1,-4) / (-5,-2) / (-4,-1) / (1,0) / (3,0) / (-3,-5) / (-1,0) / (6,-2) / (5,-2)",8,"(1,-4)/(2,-5)/(3,2)/(3,6)/(3,0)/(0,3)/(3,1)/(5,-1)/(0,-5)"
