competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_slicecount,optimal_solution
CanadasBestInTheWest2018,8.8,c,C,1,"(-2,-3) / (2,-4) / (-3,0) / (-5,-2) / (3,0) / (6,-4) / (3,0) / (-4,-5) / (3,-4) / (5,0) / (6,-2)",10,"(0,-4)/(0,-5)/(3,-2)/(1,0)/(3,0)/(0,2)/(0,3)/(2,-3)/(0,3)/(4,-2)/(2,3)"
CanadasBestInTheWest2018,8.8,c,C,2,"(3,2) / (-2,1) / (-3,-1) / (3,0) / (2,-5) / (6,-2) / (0,-2) / (0,-4) / (2,-3) / (1,0)",9,"(5,6)/(3,-2)/(0,4)/(2,0)/(0,-4)/(4,-1)/(0,-3)/(3,1)/(-1,2)/(3,4)"
CanadasBestInTheWest2018,8.8,c,C,3,"(-5,0) / (0,3) / (5,5) / (-3,0) / (6,-5) / (3,0) / (1,0) / (-4,0) / (-4,-4) / (-3,0)",9,"(1,-2)/(2,2)/(3,4)/(0,1)/(0,3)/(1,0)/(2,-4)/(1,1)/(3,6)/(-1,6)"
CanadasBestInTheWest2018,8.8,c,C,4,"(3,-4) / (1,1) / (3,0) / (-3,0) / (-4,-1) / (6,0) / (-5,0) / (-3,0) / (-1,-2) / (2,0) / (-2,0) / (0,-4) / (6,0)",10,"(4,-2)/(4,6)/(2,6)/(2,-5)/(3,0)/(4,0)/(3,0)/(5,-1)/(1,-2)/(0,-3)/(-4,0)"
CanadasBestInTheWest2018,8.8,c,C,5,"(0,-1) / (-5,-2) / (-1,-1) / (6,-3) / (-5,-2) / (-4,0) / (0,-3) / (3,-1) / (0,-5) / (-5,0) /",6,"(0,2)/(0,1)/(5,2)/(1,-3)/(0,3)/(-1,0)/(0,1)"
NicosiaPowerPlant2026,9.2,c,B,1,"(4,-3) / (5,-1) / (-3,-3) / (-2,-5) / (3,0) / (-3,-4) / (-3,0) / (-3,-2) / (0,-1) / (-2,-2) / (-4,-3)",10,"(4,-3)/(0,6)/(2,-4)/(2,3)/(4,3)/(0,-3)/(0,-2)/(5,-4)/(1,4)/(5,2)/(6,-5)"
NicosiaPowerPlant2026,9.2,c,B,2,"(-2,0) / (3,-3) / (-4,5) / (3,0) / (-5,-2) / (5,0) / (6,-3) / (3,0) / (-3,0) / (1,0) / (-2,0) / (0,-5) / (4,0)",10,"(2,6)/(0,4)/(2,-5)/(3,-2)/(1,5)/(5,-3)/(1,6)/(3,0)/(2,0)/(1,-5)/(-1,6)"
NicosiaPowerPlant2026,9.2,c,B,3,"(0,-1) / (-5,-2) / (2,5) / (4,-2) / (6,0) / (-3,0) / (0,-1) / (-3,-3) / (3,0) / (2,0) / (-4,0) /",9,"/(2,-4)/(2,6)/(2,0)/(3,2)/(3,3)/(2,-3)/(1,1)/(0,3)/(2,3)"
NicosiaPowerPlant2026,9.2,c,B,4,"(3,5) / (4,-5) / (2,-1) / (0,-3) / (3,0) / (4,0) / (-3,-3) / (5,0) / (2,0) / (-4,-2) / (6,-2)",8,"(4,-2)/(0,4)/(4,6)/(4,-2)/(4,6)/(2,5)/(3,3)/(3,-1)/(6,-2)"
NicosiaPowerPlant2026,9.2,c,B,5,"(0,-4) / (-3,3) / (-5,-5) / (-3,0) / (-1,-1) / (-3,0) / (0,-5) / (0,-3) / (-2,0) / (-1,0) / (4,0) / (6,0) / (-5,0) / (-4,0)",9,"(2,6)/(3,-4)/(4,0)/(5,6)/(4,-5)/(2,0)/(5,2)/(4,0)/(-3,0)/(5,-2)"
PurwokertoSideEvents2025,9.2,d,B,1,"(0,5) / (3,0) / (3,-3) / (-2,-5) / (6,0) / (-3,-3) / (0,-1) / (-3,0) / (-1,0) / (2,-2) / (-4,0) / (-2,0) / (-4,-3)",10,"(4,6)/(5,2)/(2,1)/(2,5)/(0,-5)/(4,3)/(1,6)/(3,0)/(2,1)/(6,-3)/(5,1)"
PurwokertoSideEvents2025,9.2,d,B,2,"(1,0) / (0,6) / (-1,-1) / (-3,0) / (4,-5) / (-4,-3) / (-3,0) / (6,-3)",7,"(0,-3)/(0,-3)/(0,6)/(4,-3)/(5,-4)/(3,0)/(-5,1)/(5,0)"
PurwokertoSideEvents2025,9.2,d,B,3,"(-5,-3) / (-3,6) / (-3,0) / (0,-3) / (0,-4) / (3,0) / (-4,-5) / (6,-2) / (0,-2) / (-3,-2) / (2,0) / (-3,0) / (-4,0)",10,"(1,0)/(0,4)/(1,5)/(4,-5)/(5,-2)/(4,-4)/(0,4)/(3,2)/(3,3)/(-3,-5)/(5,0)"
PurwokertoSideEvents2025,9.2,d,B,4,"(0,5) / (0,3) / (-2,-5) / (-3,-3) / (2,-1) / (-3,-5) / (3,0) / (1,0) / (2,-3) / (-4,0)",9,"(4,0)/(4,-3)/(0,-1)/(3,6)/(3,5)/(1,4)/(3,3)/(2,-1)/(3,6)/(6,1)"
PurwokertoSideEvents2025,9.2,d,B,5,"(4,3) / (-4,5) / (3,0) / (0,-3) / (3,0) / (0,-2) / (3,0) / (-5,-3) / (3,0) / (0,-1) / (0,-2) / (0,-3) / (6,-2)",10,"(3,-4)/(1,-4)/(2,0)/(2,2)/(0,2)/(1,-4)/(3,3)/(0,4)/(5,-4)/(1,1)/(-1,6)"
GrandJunctionDysfunction2025,9.2,c,A,1,"(-2,0) / (-3,-3) / (0,-3) / (-4,-4) / (6,-3) / (6,-2) / (0,-3) / (0,-1) / (4,0) / (-3,0) / (-3,-4)",8,"(0,4)/(3,6)/(0,-1)/(3,-5)/(3,1)/(3,-1)/(0,-3)/(-3,1)/(5,0)"
GrandJunctionDysfunction2025,9.2,c,A,2,"(0,5) / (0,3) / (0,-3) / (-5,-5) / (2,-1) / (3,0) / (-2,-3) / (-3,-3) / (-1,0) / (-2,-4) / (6,0) / (-2,0)",9,"(4,0)/(2,2)/(2,-2)/(0,-4)/(2,3)/(3,3)/(0,-1)/(0,3)/(1,-2)/(-1,6)"
GrandJunctionDysfunction2025,9.2,c,A,3,"(3,5) / (-2,-5) / (5,-4) / (4,-2) / (-1,0) / (3,0) / (1,0) / (4,0) / (-1,0) / (6,-3) / (-4,0)",8,"(2,-1)/(0,2)/(4,-4)/(2,4)/(3,0)/(3,3)/(5,0)/(6,3)/(0,-5)"
GrandJunctionDysfunction2025,9.2,c,A,4,"(4,0) / (0,-3) / (-3,0) / (6,0) / (5,-4) / (0,-3) / (0,-2) / (0,-3) / (0,-1) / (6,-2) / (-2,-3) / (-3,0) / (-2,0) / (-4,0)",11,"(1,-5)/(0,6)/(5,2)/(2,-2)/(0,-1)/(2,0)/(2,3)/(3,1)/(3,-3)/(3,0)/(3,6)/(5,4)"
GrandJunctionDysfunction2025,9.2,c,A,5,"(4,0) / (3,-3) / (5,2) / (3,0) / (0,-3) / (6,0) / (-2,0) / (0,-3) / (-3,0) / (-3,0) / (-3,-2) / (-2,-4) /",10,"(2,6)/(1,2)/(0,5)/(5,6)/(1,-3)/(3,6)/(3,0)/(3,2)/(1,1)/(-3,6)/(-4,6)"
BanskaBystricaOpen2024,9.2,c,A,1,"(1,0) / (0,-3) / (0,-3) / (-3,0) / (-4,-4) / (3,0) / (6,0) / (0,-2) / (-3,0) / (-2,0) / (0,-4) / (-2,-5) / (-4,0) / (3,0) /",10,"(4,6)/(4,3)/(2,-5)/(4,0)/(4,0)/(0,2)/(2,0)/(4,-3)/(3,6)/(-5,0)/(-4,3)"
BanskaBystricaOpen2024,9.2,c,A,2,"(0,-4) / (4,1) / (-1,-4) / (4,-5) / (-3,-1) / (-3,-3) / (-1,-2) / (-2,-4) / (4,0) / (0,-2)",9,"(0,2)/(2,6)/(4,2)/(1,2)/(3,3)/(3,1)/(5,-4)/(1,4)/(-1,-4)/(6,-2)"
BanskaBystricaOpen2024,9.2,c,A,3,"(0,-1) / (3,0) / (1,1) / (0,-3) / (5,-1) / (4,-2) / (-1,0) / (3,0) / (3,0) / (-2,0) / (4,0) / (-1,0) / (-4,-3) /",11,"(2,-4)/(3,-4)/(0,6)/(4,6)/(2,-1)/(0,1)/(2,6)/(0,4)/(3,2)/(3,0)/(5,0)/(-3,-5)"
BanskaBystricaOpen2024,9.2,c,A,4,"(0,2) / (0,-3) / (3,3) / (-2,-5) / (5,-1) / (-5,0) / (-3,-3) / (-1,0) / (2,-4) / (0,-2) / (0,-2) / (-2,0)",7,"(2,2)/(2,4)/(4,4)/(4,-2)/(1,-3)/(3,0)/(3,3)/(3,0)"
BanskaBystricaOpen2024,9.2,c,A,5,"(0,-1) / (4,1) / (-1,2) / (3,0) / (0,-3) / (4,-2) / (5,0) / (-3,-3) / (0,-3) / (-2,-4)",9,"(2,-5)/(3,-3)/(0,6)/(3,2)/(1,-2)/(5,-1)/(1,-5)/(5,-4)/(-5,-2)/(5,3)"
AvenidaChileXIII2024,9.2,d,A,1,"(0,5) / (3,0) / (0,-3) / (0,-3) / (-5,-2) / (6,0) / (3,0) / (0,-4) / (-3,-3) / (-3,-2) / (-2,0) / (0,-4) / (6,0)",10,"(2,-2)/(2,-2)/(2,-4)/(4,-4)/(2,0)/(0,2)/(5,3)/(3,0)/(3,3)/(-2,0)/(5,3)"
AvenidaChileXIII2024,9.2,d,A,2,"(0,2) / (4,4) / (-4,5) / (-5,-5) / (-3,0) / (3,0) / (0,-4) / (3,0) / (0,-5) / (-4,0) / (0,-2)",8,"(0,2)/(1,6)/(2,6)/(0,3)/(1,-3)/(5,5)/(1,-2)/(2,2)/(6,4)"
AvenidaChileXIII2024,9.2,d,A,3,"(-2,0) / (3,0) / (2,-1) / (4,-2) / (-3,0) / (5,0) / (3,0) / (-5,-3) /",8,"(5,5)/(1,-3)/(3,-3)/(0,3)/(0,-5)/(0,-3)/(2,5)/(4,-5)/(2,0)"
AvenidaChileXIII2024,9.2,d,A,4,"(-2,0) / (-3,0) / (3,0) / (2,-1) / (-5,-2) / (-4,-4) / (1,0) / (0,-3) / (-1,0) / (4,0) / (2,0) / (-3,-2) / (-2,-1)",10,"(4,1)/(1,6)/(5,-2)/(3,-5)/(0,3)/(0,3)/(3,1)/(5,-4)/(0,3)/(-2,1)/(-4,-3)"
